name,value
Urban and built-up lands,11400
Savannas,5582
Evergreen broadleaf forests,4960
Grasslands,4213
Woody Savannas,3874
Water bodies,3103
Croplands,1491
Cropland/Natural vegetation mosaics,1385
Permanent wetlands,680
Open shrublands,380
Evergreen needleleaf forests,288
Mixed forests,194
Deciduous broadleaf forests,90
Barren,87
Closed shrublands,28
