sciname,comname,category,value
Lepidoptera,Butterflies and Moths,Insecta,763
Gymnorhina tibicen,Australian Magpie,Aves,524
Angiospermae,flowering plants,Plantae,420
Grallina cyanoleuca,Magpie-lark,Aves,341
Fungi,Fungi Including Lichens,Fungi,337
Trichoglossus moluccanus,Rainbow Lorikeet,Aves,296
Threskiornis molucca,Australian White Ibis,Aves,292
Apis mellifera,Western Honey Bee,Insecta,287
Chenonetta jubata,Australian Wood Duck,Aves,237
Dacelo novaeguineae,Laughing Kookaburra,Aves,234
Diptera,Flies,Insecta,228
Eolophus roseicapilla,Galah,Aves,227
Columba livia domestica,Feral Pigeon,Aves,216
Chroicocephalus novaehollandiae,Silver Gull,Aves,216
Gallinula tenebrosa,Dusky Moorhen,Aves,214
Ocyphaps lophotes,Crested Pigeon,Aves,208
Formicidae,Ants,Insecta,205
Araneae,Spiders,Arachnida,203
Manorina melanocephala,Noisy Miner,Aves,196
Cygnus atratus,Black Swan,Aves,191
Anas superciliosa,Pacific Black Duck,Aves,178
Orthoptera,"Grasshoppers, Crickets, and Katydids",Insecta,175
Cacatua galerita,Sulphur-crested Cockatoo,Aves,173
Porphyrio melanotus,Australasian Swamphen,Aves,160
Araneomorphae,Typical Spiders,Arachnida,151
Arachnida,Arachnids,Arachnida,150
Rhipidura leucophrys,Willie Wagtail,Aves,148
Hymenoptera,"Ants, Bees, Wasps, and Sawflies",Insecta,140
Pelecanus conspicillatus,Australian Pelican,Aves,140
Egretta novaehollandiae,White-faced Heron,Aves,138
Aves,Birds,Aves,132
Alisterus scapularis,Australian King-Parrot,Aves,130
Microcarbo melanoleucos,Little Pied Cormorant,Aves,126
Acridotheres tristis,Common Myna,Aves,125
Platycercus elegans,Crimson Rosella,Aves,124
Cacatua sanguinea,Little Corella,Aves,117
Platycercus eximius,Eastern Rosella,Aves,109
Trichosurus vulpecula,Common Brushtail Possum,Mammalia,108
Coleoptera,Beetles,Insecta,107
Agaricales,Common Gilled Mushrooms and Allies,Fungi,105
Anthochaera carunculata,Red Wattlebird,Aves,99
Streptopelia chinensis,Spotted Dove,Aves,96
Insecta,Insects,Insecta,95
Salticidae,Jumping Spiders,Arachnida,95
Passer domesticus,House Sparrow,Aves,94
Malurus cyaneus,Superb Fairywren,Aves,93
Scincidae,Skinks,Reptilia,93
Alectura lathami,Australian Brushturkey,Aves,89
Macropus fuliginosus,Western Grey Kangaroo,Mammalia,88
Araneidae,Orbweavers,Arachnida,85
Phascolarctos cinereus,Koala,Mammalia,84
Diplopoda,Millipedes,Animalia,83
Threskiornis spinicollis,Straw-necked Ibis,Aves,83
Calotes versicolor,Changeable Lizard,Reptilia,81
Blattodea,Cockroaches and Termites,Insecta,80
Anas superciliosa,Pacific Black Duck,Animalia,80
Strepera graculina,Pied Currawong,Aves,77
Plantae,plants,Plantae,77
Zanda funerea,Yellow-tailed Black-Cockatoo,Aves,76
Pholcidae,Cellar Spiders,Arachnida,75
Argiope keyserlingi,Saint Andrew's Cross Spider,Arachnida,75
Fulica atra australis,Australasian Coot,Aves,75
Cracticus torquatus,Grey Butcherbird,Aves,74
Vanellus miles,Masked Lapwing,Aves,74
Podargus strigoides,Tawny Frogmouth,Aves,70
Vanellus miles novaehollandiae,Black-shouldered Lapwing,Aves,68
Danaus plexippus,Monarch,Insecta,68
Tachyglossus aculeatus,Short-beaked Echidna,Mammalia,68
Intellagama lesueurii lesueurii,Eastern Water Dragon,Reptilia,67
Fulica atra,Eurasian Coot,Aves,67
Basidiomycota,Basidiomycete Fungi,Fungi,66
Animalia,Animals,Animalia,66
Anhinga novaehollandiae,Australasian Darter,Aves,65
Scarabaeidae,Scarabs,Insecta,65
Phylidonyris novaehollandiae,New Holland Honeyeater,Aves,64
Ommatoiulus moreleti,Portuguese Millipede,Animalia,64
Pieris rapae,Cabbage White,Insecta,63
Psephotus haematonotus,Red-rumped Parrot,Aves,63
Pseudomantis albofimbriata,False Garden Mantis,Insecta,63
Rhipidura albiscapa,Grey Fantail,Aves,63
Magnoliopsida,dicots,Plantae,62
