sciname,comname,category,value
Phalacrocorax sulcirostris,Little Black Cormorant,Aves,62
Macropus giganteus,Eastern Grey Kangaroo,Mammalia,58
Valanga irregularis,Giant Grasshopper,Insecta,57
Reduviidae,Assassin Bugs,Insecta,57
Myrmecia,Bull Ants,Insecta,57
Latrodectus hasselti,Redback Spider,Arachnida,57
Orthetrum caledonicum,Blue Skimmer,Insecta,56
Coccinella transversalis,Small Transverse Ladybird Beetle,Insecta,56
Hemidactylus frenatus,Asian House Gecko,Reptilia,56
Polyporales,shelf fungi,Fungi,54
Varanus varius,Lace Monitor,Reptilia,53
Corvus,Crows and Ravens,Aves,53
Tracheophyta,vascular plants,Plantae,52
Tectocoris diophthalmus,Hibiscus Harlequin Bug,Insecta,52
Heteronympha merope,Common Brown,Insecta,51
Christinus marmoratus,Southern Marbled Gecko,Reptilia,51
Ranoidea caerulea,Australian Green Tree Frog,Amphibia,50
Corvus coronoides,Australian Raven,Aves,50
Pseudocheirus peregrinus,Common Ringtail Possum,Mammalia,49
Lycosidae,Wolf Spiders,Arachnida,49
Cornu aspersum,Garden Snail,Mollusca,49
Wallabia bicolor,Swamp Wallaby,Mammalia,48
Zosterops lateralis,Silvereye,Aves,48
Anas castanea,Chestnut Teal,Aves,47
Heteroptera,True Bugs,Insecta,47
Intellagama lesueurii,Australian Water Dragon,Reptilia,46
Phaps chalcoptera,Common Bronzewing,Aves,46
Trichonephila plumipes,Tiger Spider,Arachnida,45
Junonia villida,Meadow Argus,Insecta,45
Anthochaera chrysoptera,Little Wattlebird,Aves,45
Larus pacificus,Pacific Gull,Aves,45
Oecophylla smaragdina,Asian Weaver Ant,Insecta,45
Ypthima ceylonica,White Four Ring,Insecta,44
Amegilla,Blue-banded and Allied Digger Bees,Insecta,44
Rhinella marina,Cane Toad,Amphibia,43
Barnardius zonarius,Australian Ringneck,Aves,43
Oryctolagus cuniculus,European Rabbit,Mammalia,43
Pterygota,Winged and Once-winged Insects,Insecta,43
Entomyzon cyanotis,Blue-faced Honeyeater,Aves,41
Orthodera ministralis,Australian Green Mantis,Insecta,41
Dromaius novaehollandiae,Emu,Aves,41
Hirundo neoxena,Welcome Swallow,Aves,41
Amata,Handmaidens,Insecta,40
Illeis galbula,Fungus-eating ladybird,Insecta,40
Dermaptera,Earwigs,Insecta,40
Bryophyta,mosses,Plantae,40
Henosepilachna vigintioctopunctata,Hadda Beetle,Insecta,39
Bubulcus ibis,Cattle Egret,Aves,39
Pteropus poliocephalus,Grey-headed Flying-fox,Mammalia,39
Himantopus leucocephalus,Pied Stilt,Aves,39
Euploea core,Common Crow Butterfly,Insecta,39
Cracticus nigrogularis,Pied Butcherbird,Aves,38
Iridomyrmex purpureus,Meat Ant,Insecta,38
Macropus giganteus,Eastern Gray Kangaroo,Mammalia,38
Eopsaltria australis,Eastern Yellow Robin,Aves,38
Acrididae,Short-horned Grasshoppers,Insecta,38
Calotes calotes,Common Green Forest Lizard,Reptilia,38
Austracantha minax,Christmas Jewel Spider,Arachnida,38
Haliaeetus leucogaster,White-bellied Sea-Eagle,Aves,37
Nycticorax caledonicus,Rufous Night-Heron,Aves,37
Papilio aegeus,Orchard Swallowtail,Insecta,37
Arthropoda,Arthropods,Animalia,37
Melanitis leda,Common Evening Brown,Insecta,37
Turdus merula,Eurasian Blackbird,Aves,37
Eucalypteae,gum trees,Plantae,37
Maratus griseus,White-banded House Jumping Spider,Arachnida,37
Anas platyrhynchos domesticus,Domestic Mallard,Aves,37
Eucalyptus,eucalyptus,Plantae,36
Lichmera indistincta,Brown Honeyeater,Aves,36
Duttaphrynus melanostictus,Asian Common Toad,Amphibia,36
Tiliqua scincoides,Common Bluetongue,Reptilia,35
Caedicia,Garden Katydids,Insecta,35
Fulgoroidea,Planthoppers,Insecta,35
Ardea alba modesta,Eastern Great Egret,Aves,35
Haematopus longirostris,Pied Oystercatcher,Aves,35
Sturnus vulgaris,European Starling,Aves,34
Hypolimnas bolina,Great Eggfly,Insecta,33
Dindymus versicolor,Harlequin Red Bug,Insecta,33
Cacatua tenuirostris,Long-billed Corella,Aves,33
Aythya australis,Hardhead,Aves,33
Myrmeleontidae,Antlions including Owlflies,Insecta,33
Burhinus grallarius,Bush Stone-curlew,Aves,33
Eumeninae,Potter and Mason Wasps,Insecta,32
Eulamprus quoyii,Eastern Water Skink,Reptilia,32
Anura,Frogs and Toads,Amphibia,32
Acanthorhynchus tenuirostris,Eastern Spinebill,Aves,32
Lantana camara,common lantana,Plantae,32
Phonognatha graeffei,Leaf-curling Spider,Arachnida,32
Phaulacridium vittatum,Wingless Grasshopper,Insecta,32
Syrphidae,Hover Flies,Insecta,32
Malurus,Typical Fairywrens,Aves,32
Passeriformes,Perching Birds,Aves,31
Pavo cristatus,Indian Peafowl,Aves,31
Araneoidea,Araneoid Spiders,Arachnida,31
Archimantis latistyla,Australian Stick Mantis,Insecta,31
Lissachatina fulica,African Giant Snail,Mollusca,31
Hippodamia variegata,Variegated Lady Beetle,Insecta,30
Camponotus,Carpenter and Sugar Ants,Insecta,30
Dynastinae,Rhinoceros Beetles,Insecta,30
Lycosoidea,Wolf Spiders and Allies,Arachnida,30
Litoria peronii,Peron's Tree Frog,Amphibia,30
Vespula germanica,German Yellowjacket,Insecta,30
Phylidonyris niger,White-cheeked Honeyeater,Aves,30
Ardea alba,Great Egret,Aves,30
Heteropoda,Giant Huntsman Spiders,Arachnida,29
Pentatomoidea,"Stink Bugs, Shield Bugs, and Allies",Insecta,29
Melolonthinae,June Beetles,Insecta,29
Dolichopodidae,Long-legged Flies,Insecta,29
Noctuidae,Cutworm Moths and Allies,Insecta,29
Platalea regia,Royal Spoonbill,Aves,29
Pompilidae,Spider Wasps,Insecta,29
Brachyura,True Crabs,Animalia,28
Oxyopidae,Lynx Spiders,Arachnida,28
Gastropoda,Gastropods,Mollusca,28
Otocryptis wiegmanni,Sri Lanka Kangaroo Lizard,Reptilia,28
Trichonephila plumipes,Large-jawed Spiders,Arachnida,28
Diplacodes haematodes,Scarlet Percher,Insecta,28
Lampropholis guichenoti,Pale-flecked Garden Sunskink,Reptilia,28
Vanellus miles novaehollandiae,Masked Lapwing,Aves,27
Thalasseus bergii,Greater Crested Tern,Aves,27
Porphyrio melanotus melanotus,Southeastern Australasian Swamphen,Aves,27
Anas gracilis,Grey Teal,Aves,27
Orthetrum villosovittatum,Fiery Skimmer,Insecta,27
Coccinellidae,Lady Beetles,Insecta,27
Chrysopidae,Green Lacewings,Insecta,27
Corvus mellori,Little Raven,Aves,27
Acrida conica,Giant Green Slantface,Insecta,27
Thomisidae,Crab Spiders,Arachnida,26
Harmonia conformis,Large Spotted Ladybird,Insecta,26
Diplacodes trivialis,Chalky Percher,Insecta,26
Graphium choredon,Blue Triangle Butterfly,Insecta,26
Morelia spilota,Carpet Python,Reptilia,25
Argiope,Garden Orbweavers,Arachnida,25
Calliphoridae,Blow Flies,Insecta,25
Asteraceae,"sunflowers, daisies, asters, and allies",Plantae,25
Litoria fallax,Eastern Dwarf Tree Frog,Amphibia,25
Manorina melanophrys,Bell Miner,Aves,25
Malurus melanocephalus,Red-backed Fairywren,Aves,25
Macropus rufogriseus,Red-necked Wallaby,Mammalia,25
Lymantriinae,Tussock Moths,Insecta,25
Tadorna tadornoides,Australian Shelduck,Aves,25
Cryptoblepharus buchananii,Buchanan's Snake-eyed Skink,Reptilia,24
Elateridae,Click Beetles,Insecta,24
Valanga irregularis,"Grasshoppers, Crickets, and Katydids",Insecta,24
Ptilonorhynchus violaceus,Satin Bowerbird,Aves,24
Pycnonotus cafer,Red-vented Bulbul,Aves,24
Geometridae,Geometer Moths,Insecta,24
Rhytidoponera,Pony Ants,Insecta,24
Harmonia conformis,Large Spotted Lady Beetle,Insecta,24
Milvus migrans,Black Kite,Aves,24
Tachybaptus novaehollandiae,Australasian Grebe,Aves,24
Tabanidae,Horse and Deer Flies,Insecta,23
Merops ornatus,Rainbow Bee-eater,Aves,23
Varanus bengalensis,Bengal Monitor,Reptilia,23
Ranoidea moorei,Motorbike Frog,Amphibia,23
Amanita muscaria,Fly Agaric,Fungi,23
Daphnis nerii,Oleander Hawkmoth,Insecta,23
Theridiidae,Cobweb Spiders,Arachnida,23
Neochmia temporalis,Red-browed Finch,Aves,23
Anas platyrhynchos,Mallard,Aves,23
Junonia iphita,Chocolate Pansy,Insecta,23
Mammalia,Mammals,Mammalia,23
Myrtaceae,myrtle family,Plantae,23
Trichonephila edulis,Australian Golden Orbweaver,Arachnida,23
Melaleuca,bottlebrushes,Plantae,22
Anoplognathus,Christmas Beetles,Insecta,22
Scolypopa australis,Passionvine hopper,Insecta,22
Poaceae,grasses,Plantae,22
Taractrocerini,Grass Darts and Darters,Insecta,22
Meliphaga lewinii,Lewin's Honeyeater,Aves,22
Malurus splendens,Splendid Fairywren,Aves,22
Geopelia placida,Peaceful Dove,Aves,22
Deinopidae,Net-casting Spiders,Arachnida,22
Trichoglossus chlorolepidotus,Scaly-breasted Lorikeet,Aves,22
Petroica boodang,Scarlet Robin,Aves,21
Psychidae,Bagworm Moths,Insecta,21
Lecanoromycetes,Common Lichens,Fungi,21
Tenodera australasiae,Purple-winged Mantis,Insecta,21
Ganoderma,artist's bracket and allies,Fungi,21
Heteropoda venatoria,Giant Crab Spider,Arachnida,21
Vanellus indicus,Red-wattled Lapwing,Aves,21
Mopsus mormon,Green Jumping Spider,Arachnida,21
Megachile,"Leafcutter, Mortar, and Resin Bees",Insecta,21
Papilio anactus,Small Dingy Swallowtail,Insecta,21
Scopula rubraria,Plantain moth,Insecta,21
Bombus terrestris,Buff-tailed Bumble Bee,Insecta,21
Mictyris longicarpus,Light-blue Soldier Crab,Animalia,21
Stizoptera bichenovii,Double-barred Finch,Aves,21
Oniscidea,Woodlice and Pillbugs,Animalia,21
Coracina novaehollandiae,Black-faced Cuckooshrike,Aves,20
Sarcophagidae,Flesh Flies,Insecta,20
Pentatomidae,Stink Bugs,Insecta,20
Sauria,Lizards,Reptilia,20
Pteridium esculentum,Austral Bracken,Plantae,20
Phalaenoides glycinae,Australian Grapevine Moth,Insecta,20
Spodoptera,Armyworm Moths,Insecta,20
Iridomyrmex,Rainbow Ants,Insecta,20
Neptis hylas,Common Sailer,Insecta,20
Termitoidae,Termites,Insecta,20
Scoliidae,Scoliid Wasps,Insecta,20
Larus dominicanus dominicanus,Southern Black-backed Gull,Aves,20
Gastrimargus musicus,Australian Yellow-winged Locust,Insecta,19
Calyptorhynchus banksii,Red-tailed Black-Cockatoo,Aves,19
Nephila pilipes,Giant Golden Orbweaver,Arachnida,19
Isopedella victorialis,Victorian Huntsman Spider,Arachnida,19
Cicadellidae,Typical Leafhoppers,Insecta,19
Nyctimystes infrafrenatus,White-lipped Tree Frog,Amphibia,19
Speiredonia spectans,Granny's Cloak Moth,Insecta,19
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Aves,19
Tiliqua rugosa,Shingleback Lizard,Reptilia,19
Cormocephalus aurantiipes,Orange-footed Centipede,Animalia,19
Chironomidae,Non-biting Midges,Insecta,19
Emydura macquarii,Macquarie Turtle,Reptilia,19
Copsychus saularis,Oriental Magpie-Robin,Aves,19
Eudynamys orientalis,Pacific Koel,Aves,19
Physalia physalis,Portuguese Man o' War,Animalia,19
Polistes dominula,European Paper Wasp,Insecta,19
Anseranas semipalmata,Magpie Goose,Aves,19
Xanthogaleruca luteola,Elm Leaf Beetle,Insecta,19
Platalea flavipes,Yellow-billed Spoonbill,Aves,19
Teleogryllus commodus,Australian Black Field Cricket,Insecta,19
Metura elongatus,Saunder's Case Moth,Insecta,19
Leptotes plinius,Zebra Blue,Insecta,18
Leptosia nina,Psyche,Insecta,18
Funambulus palmarum,Three-striped Palm Squirrel,Mammalia,18
Macaca sinica,Toque Macaque,Mammalia,18
Sericornis frontalis,White-browed Scrubwren,Aves,18
Rhytidoponera metallica,Green-head Ant,Insecta,18
Neurothemis tullia,Pied Paddy Skimmer,Insecta,18
Agrotis munda,Brown Cutworm,Insecta,18
Coelophora inaequalis,Variable Ladybird Beetle,Insecta,18
Argya affinis,Yellow-billed Babbler,Aves,18
Halcyon smyrnensis,White-throated Kingfisher,Aves,18
Haematopus fuliginosus,Sooty Oystercatcher,Aves,18
Parmeliaceae,shield lichens and allies,Fungi,18
Scarabaeoidea,"Scarabs, Stag Beetles, and Allies",Insecta,18
Dendrelaphis punctulatus,Common Tree Snake,Reptilia,18
Aquila audax,Wedge-tailed Eagle,Aves,18
Symphyta,"Sawflies, Horntails, and Wood Wasps",Insecta,18
Carabidae,Ground Beetles,Insecta,18
Callocephalon fimbriatum,Gang-gang Cockatoo,Aves,18
Agaricaceae,"field mushrooms, puffballs, and allies",Fungi,18
Cereopsis novaehollandiae,Cape Barren Goose,Aves,18
Hermetia illucens,Black Soldier Fly,Insecta,17
Nezara viridula,Southern Green Stink Bug,Insecta,17
Amanita,amanita mushrooms,Fungi,17
Ambigolimax,Threeband Slugs,Mollusca,17
Coelophora inaequalis,Variable Lady Beetle,Insecta,17
Coreidae,Leaf-footed Bugs,Insecta,17
Jamides celeno,Common Caerulean,Insecta,17
Cairina moschata domestica,Domestic Muscovy Duck,Aves,17
Tenebrionidae,Darkling Beetles,Insecta,17
Auchenorrhyncha,"Cicadas, Hoppers, and Spittlebugs",Insecta,17
Neuroptera,"Antlions, Lacewings, and Allies",Insecta,17
Gryllidae,True Crickets,Insecta,17
Sphecotheres vieilloti,Australasian Figbird,Aves,17
Catostylus mosaicus,Blue Blubber Jelly,Animalia,17
Holconia immanis,Grey Huntsman Spider,Arachnida,17
Dicrurus bracteatus,Spangled Drongo,Aves,17
Apricia jovialis,Jovial Jumping Spider,Arachnida,17
Sparassidae,Huntsman Spiders,Arachnida,17
Liliopsida,monocots,Plantae,17
Grylloidea,True Crickets and Allies,Insecta,17
Catopsilia pomona,Lemon Migrant,Insecta,17
Glossopsitta concinna,Musk Lorikeet,Aves,16
Phalacrocorax varius,Pied Cormorant,Aves,16
Todiramphus sanctus,Sacred Kingfisher,Aves,16
Apis dorsata,Giant Honey Bee,Insecta,16
Limax maximus,Leopard Slug,Mollusca,16
Acacia,wattles,Plantae,16
Delias eucharis,Common Jezebel,Insecta,16
Lampona,White-tailed Spiders,Arachnida,16
Phalanta phalantha,Common Leopard,Insecta,16
Crambidae,Crambid Snout Moths,Insecta,16
Aleeta curvicosta,Floury Baker,Insecta,16
Polydesmida,Flat-backed Millipedes,Animalia,16
Spodoptera picta,Lily Caterpillar,Insecta,16
Limnodynastes peronii,Striped Marsh Frog,Amphibia,16
Leptograpsus variegatus,Purple Rock Crab,Animalia,16
Agamidae,Dragons,Reptilia,16
Menura novaehollandiae,Superb Lyrebird,Aves,16
Egretta garzetta,Little Egret,Aves,16
Crypsiphona ocultaria,Red-lined Looper,Insecta,16
Litoria rubella,Desert Tree Frog,Amphibia,16
Elymnias hypermnestra,Common Palmfly,Insecta,16
Eupoecila australasiae,Fiddler Beetle,Insecta,15
Brachycera,Brachyceran Flies,Insecta,15
Culicidae,Mosquitoes,Insecta,15
Junonia almana,Peacock Pansy,Insecta,15
Macropygia phasianella,Brown Cuckoo-Dove,Aves,15
Jamides bochus,Dark Cerulean,Insecta,15
Tettigoniidae,Katydids,Insecta,15
Ichneumonidae,Ichneumonid Wasps,Insecta,15
Mimosa pudica,Sensitive Plant,Plantae,15
Hibiscus,hibiscuses,Plantae,15
Scarabaeinae,Dung Beetles,Insecta,15
Archimantis sobrina,Mallee Grass Mantis,Insecta,15
Sarcophaginae,Sarcophagine Flesh Flies,Insecta,15
Gryllidea,Crickets,Insecta,15
Cicadoidea,Cicadas,Insecta,15
Ardea intermedia,Intermediate Egret,Aves,15
Oligochaeta,Earthworms and allies,Animalia,15
Entelegynae,Entelegyne Spiders,Arachnida,15
Poales,"grasses, sedges, and allies",Plantae,15
Colluricincla harmonica,Grey Shrikethrush,Aves,14
Papilio polytes,Common Mormon Swallowtail,Insecta,14
Fabaceae,legumes,Plantae,14
Hemicordulia australiae,Australian Emerald Dragonfly,Insecta,14
Hemiphaga novaeseelandiae,New Zealand Pigeon,Aves,14
Ctenomorpha marginipennis,Margin-winged Stick Insect,Insecta,14
Acrididea,Grasshoppers,Insecta,14
Dasypodia selenophora,Southern Moon Moth,Insecta,14
Gavicalis virescens,Singing Honeyeater,Aves,14
Prosthemadera novaeseelandiae novaeseelandiae,Tui,Aves,14
Ardices glatignyi,black-and-white tiger moth,Insecta,14
Amphibolurus muricatus,Jacky Dragon,Reptilia,14
Chrysomelidae,Leaf Beetles,Insecta,14
Sonchus,sow thistles,Plantae,14
Flatidae,Flatid Planthoppers,Insecta,14
Vanessa kershawi,Australian Painted Lady,Insecta,14
Gymnopilus junonius,Spectacular Rustgill,Fungi,14
Malurus lamberti,Variegated Fairywren,Aves,14
Naupactus leucoloma,White-fringed weevil,Insecta,14
Gallus gallus domesticus,Domestic Chicken,Aves,14
Annelida,Segmented Worms,Animalia,14
Pandion haliaetus cristatus,Eastern Osprey,Aves,14
Pogona barbata,Eastern Bearded Dragon,Reptilia,14
Malacorhynchus membranaceus,Pink-eared Duck,Aves,13
Chlamydera nuchalis,Great Bowerbird,Aves,13
Thylogale stigmatica,Red-legged Pademelon,Mammalia,13
Antigone rubicunda,Brolga,Aves,13
Centropus sinensis,Greater Coucal,Aves,13
Geopelia humeralis,Bar-shouldered Dove,Aves,13
Miomantis caffra,South African Mantis,Insecta,13
Choerocoris paganus,Red Jewel Bug,Insecta,13
Chondropyga dorsalis,Cowboy Beetle,Insecta,13
Recurvirostra novaehollandiae,Red-necked Avocet,Aves,13
Camponotus,Carpenter Ants,Insecta,13
Curculionidae,True Weevils,Insecta,13
Rhododactyla,"Underwing, Tiger, Tussock, and Allied Moths",Insecta,13
Numenius madagascariensis,Far Eastern Curlew,Aves,13
Agaricus,field and button mushrooms,Fungi,13
Limnodynastes dumerilii,Pobblebonk,Amphibia,13
Taraxacum,dandelions,Plantae,13
Mycalesis patnia,Glad-eye Bushbrown,Insecta,13
Pachycephala pectoralis,Golden Whistler,Aves,13
Crustacea,Crustaceans,Animalia,13
Platycercus adscitus,Pale-headed Rosella,Aves,13
Philemon corniculatus,Noisy Friarbird,Aves,13
Acrida conica,"Grasshoppers, Crickets, and Katydids",Insecta,13
Haliastur indus,Brahminy Kite,Aves,13
Hemidactylus,House Geckos,Reptilia,13
Actinopterygii,Ray-finned Fishes,Actinopterygii,13
Papilio demoleus,Lime Swallowtail,Insecta,13
Ensifera,Long-horned Orthopterans,Insecta,13
Calyptorhynchus,Black-Cockatoos,Aves,13
Creatonotos gangis,Baphomet Moth,Insecta,13
Testudines,Turtles and Tortoises,Reptilia,13
Psychodidae,Moth Flies and Sand Flies,Insecta,13
Boletales,boletes and allies,Fungi,12
Tridax procumbens,Tridax daisy,Plantae,12
Gryllacrididae,Raspy Crickets,Insecta,12
Struthidea cinerea,Apostlebird,Aves,12
Salvia rosmarinus,Rosemary,Plantae,12
Zizina otis,Lesser Grass Blue,Insecta,12
Haliastur sphenurus,Whistling Kite,Aves,12
Polyommatini,Typical Blues,Insecta,12
Purpureicephalus spurius,Red-capped Parrot,Aves,12
Centropus phasianinus,Pheasant Coucal,Aves,12
Meliphagidae,Honeyeaters,Aves,12
Chlorophyta,green algae,Plantae,12
Membracidae,Typical Treehoppers,Insecta,12
Polyporaceae,bracket fungi,Fungi,12
Dendrocygna eytoni,Plumed Whistling-Duck,Aves,12
Ischnura heterosticta,Australian Bluetail,Insecta,12
Cirsium vulgare,bull thistle,Plantae,12
Cryptoblepharus pulcher,Elegant Snake-eyed Skink,Reptilia,12
Ocypodidae,Ghost and Fiddler Crabs,Animalia,12
Eudyptula minor,Little Penguin,Aves,12
Ardeola grayii,Indian Pond-Heron,Aves,12
Psaltoda plaga,Black Prince,Insecta,12
Phalacrocorax carbo,Great Cormorant,Aves,12
Polypedates cruciger,Common Hourglass Tree Frog,Amphibia,12
Calidris ruficollis,Red-necked Stint,Aves,12
Pseudococcidae,Mealybugs,Insecta,12
Eriophora transmarina,Australian Garden Orbweaver,Arachnida,12
Plexippus petersi,Common Housefly Catcher,Arachnida,12
Arctocephalus forsteri,New Zealand Fur Seal,Mammalia,12
Phyllurus platurus,Broad-tailed Gecko,Reptilia,12
Delias nigrina,Black Jezebel,Insecta,12
Entiminae,Broad-nosed Weevils,Insecta,12
Bradybaena similaris,Asian Tramp Snail,Mollusca,12
Juliformia,Round-backed Millipedes,Animalia,12
Corcorax melanorhamphos,White-winged Chough,Aves,11
Vespidae,"Hornets, Paper Wasps, Potter Wasps, and Allies",Insecta,11
Enchylaena tomentosa,Barrier Saltbush,Plantae,11
Syntomini,Wasp Moths and Handmaiden Moths,Insecta,11
Vombatus ursinus,Common Wombat,Mammalia,11
Leptocneria reducta,White Cedar Moth,Insecta,11
Phalacrocoracidae,Cormorants and Shags,Aves,11
Ephippitytha trigintiduoguttata,32-spotted Katydid,Insecta,11
Hemidactylus parvimaculatus,Spotted House Gecko,Reptilia,11
Charadrius ruficapillus,Red-capped Plover,Aves,11
Polistes humilis,Australian Paper Wasp,Insecta,11
Polistes,Umbrella Paper Wasps,Insecta,11
Papilio polymnestor,Blue Mormon Swallowtail,Insecta,11
Scythrops novaehollandiae,Channel-billed Cuckoo,Aves,11
Tortricidae,Tortricid Leafroller Moths,Insecta,11
Butorides striata,Striated Heron,Aves,11
Tachinidae,Bristle Flies,Insecta,11
Neriidae,Cactus Flies,Insecta,11
Acraea terpsicore,Tawny Coster,Insecta,11
Calidris acuminata,Sharp-tailed Sandpiper,Aves,11
Leucocoprinus birnbaumii,flowerpot parasol,Fungi,11
Grevillea,Grevilleas,Plantae,11
Ninox boobook,Southern Boobook,Aves,11
Rubus fruticosus,European bramble complex,Plantae,11
Junonia atlites,Grey Pansy,Insecta,11
Corvus orru,Torresian Crow,Aves,11
Corvus splendens,House Crow,Aves,11
Rhyothemis graphiptera,Graphic Flutterer,Insecta,11
Nyctemera baulus,Asian Magpie Moth,Insecta,11
Rhipidura fuliginosa fuliginosa,South Island Fantail,Aves,11
Nymphaea,water-lilies,Plantae,11
Chroicocephalus novaehollandiae scopulinus,Red-billed Gull,Aves,11
Zizina otis labradus,Gossamer-winged Butterflies,Insecta,11
Lampyridae,Firefly Beetles,Insecta,11
Lycidae,Net-winged Beetles,Insecta,11
Pteropus,Flying Foxes,Mammalia,11
Egretta sacra,Pacific Reef-Heron,Aves,11
Actinia tenebrosa,Waratah Anemone,Animalia,11
Psittacula krameri,Rose-ringed Parakeet,Aves,11
Muscidae,House Flies and Allies,Insecta,11
Orsotriaena medus,Smooth-eyed Bushbrown,Insecta,11
Gekkota,Geckos,Reptilia,10
Zizula hylax,Tiny Grass Blue,Insecta,10
Armadillidium vulgare,Common Pill Woodlouse,Animalia,10
Parantica aglea,Glassy Tiger,Insecta,10
Eucalyptus leucoxylon,Yellow gum,Plantae,10
Serpentes,Snakes,Reptilia,10
Anisoptera,Dragonflies,Insecta,10
Favolaschia claudopus,Orange pore fungus,Fungi,10
Schizophyllum commune,splitgill mushroom,Fungi,10
Drymaplaneta semivitta,Gisborne Cockroach,Insecta,10
Austrolittorina unifasciata,Little Blue Periwinkle,Mollusca,10
Clitoria ternatea,Blue Pea,Plantae,10
Austroscolia soror,Blue Flower Wasp,Insecta,10
Isopoda,Isopods,Animalia,10
Trichonephila edulis,Large-jawed Spiders,Arachnida,10
Cormobates leucophaea,White-throated Treecreeper,Aves,10
Polistinae,Paper Wasps,Insecta,10
Cormocephalus,Common Centipedes,Animalia,10
Gelasimni,Indo-West Pacific Fiddler Crabs,Animalia,10
Bombyliidae,Bee Flies,Insecta,10
Xanthorrhoea,Grasstrees,Plantae,10
