recorder,recorderid,recorderlogin,identifier,ids,records,identifierid,identifierlogin,totalids
QuestaGame,{196849},{questagame},Alan Melville,2701,21546,,,5046
QuestaGame,{196849},{questagame},Thomas Mesaglio,2056,21546,{1138587},{thebeachcomber},6579
QuestaGame,{196849},{questagame},QuestaGame,1393,21546,{196849},{questagame},1416
QuestaGame,{196849},{questagame},Matthew Connors,906,21546,{659121},{matthew_connors},5798
QuestaGame,{196849},{questagame},Reiner Richter,724,21546,{222137},{reiner},22231
QuestaGame,{196849},{questagame},blawson,707,21546,{1067951},{blawson},968
Ian McMaster,{322120},{imcmaster},Victor W Fazio III,593,5007,{13444},{vicfazio3},10437
QuestaGame,{196849},{questagame},Jenny Donald,551,21546,{102726},{jadonald},2226
QuestaGame,{196849},{questagame},Victor W Fazio III,525,21546,{13444},{vicfazio3},10437
Reiner Richter,{222137},{reiner},Matthew Connors,507,22539,{659121},{matthew_connors},5798
Dezmond Wells,{1360891},{wellsii},Victor W Fazio III,494,3535,{13444},{vicfazio3},10437
QuestaGame,{196849},{questagame},Michael Keogh,464,21546,,,2045
QuestaGame,{196849},{questagame},Terra Occ,367,21546,,,742
QuestaGame,{196849},{questagame},Pete Woodall,357,21546,{108966},{nyoni-pete},2389
QuestaGame,{196849},{questagame},Nuwan Chathuranga,351,21546,{8828},{nuwan},920
QuestaGame,{196849},{questagame},Amila P Sumanapala,335,21546,{56488},{amila_sumanapala},2085
QuestaGame,{196849},{questagame},Tim,323,21546,,,3542
QuestaGame,{196849},{questagame},Priyantha Wijesinghe,305,21546,{279977},{elaphrornis},1006
QuestaGame,{196849},{questagame},John Oliver,305,21546,{11060},{john8},2151
QuestaGame,{196849},{questagame},Ellura Sanctuary,297,21546,,,1187
QuestaGame,{196849},{questagame},Brendan Duggan,282,21546,{911375},{bmduggan},632
QuestaGame,{196849},{questagame},Dezmond Wells,281,21546,{1360891},{wellsii},3175
Kuan-Chieh (Chuck) Hung,{700672},{pseudoshuigeeee},葉子,274,4369,,,3318
Dave Holland,{1305207},{dave_holland},mark_smale,263,4166,{472475},{mark_smale},3363
Elliot Greiner,{292489},{elliotgreiner},mcaple,253,3950,{558416},{mcaple},4708
mobbini,{1409524},{mobbini},Rolf Theodor Borlinghaus,250,2272,{736290},{rolftheobo},3087
QuestaGame,{196849},{questagame},Joshua Smith,242,21546,,,2274
Alexis,,,Rolf Theodor Borlinghaus,222,11452,{736290},{rolftheobo},3087
Mary Joyce,{58489},{majo00},Lloyd Esler,219,1378,{56932},{lloyd_esler},6721
Dave Holland,{1305207},{dave_holland},Lloyd Esler,213,4166,{56932},{lloyd_esler},6721
Marina Gorbunova,,,Sergey Mayorov,212,9061,{1420575},{phlomis_2019},7352
Ian McMaster,{322120},{imcmaster},Nicholas John Fisher,208,5007,{473623},{dustaway},4461
QuestaGame,{196849},{questagame},Amy D.,194,21546,{1226590},{amy_d},344
James Bailey,{6971},{silversea_starsong},Lloyd Esler,186,10404,{56932},{lloyd_esler},6721
QuestaGame,{196849},{questagame},John Ascher,186,21546,{419371},{johnascher},17709
QuestaGame,{196849},{questagame},Adam Yates,183,21546,{373563},{adammyates},564
Dave Holland,{1305207},{dave_holland},David Lyttle,180,4166,{58573},{david_lyttle},2737
QuestaGame,{196849},{questagame},Yingyod Lapwong,178,21546,{701243},{charliev},2874
QuestaGame,{196849},{questagame},sea-kangaroo,178,21546,{2991},{sea-kangaroo},9415
Reiner Richter,{222137},{reiner},Michael Keogh,178,22539,,,2045
QuestaGame,{196849},{questagame},grace_sibley,177,21546,{2155217},{grace_sibley},367
CK Kelly,{264009},{ck2az},Nathan Taylor,175,32852,{43815},{nathantaylor},6106
Firos AK,{342643},{firos_ak},anilamanalil,175,1987,{735021},{anilamanalil},1673
Dezmond Wells,{1360891},{wellsii},Nicholas John Fisher,171,3535,{473623},{dustaway},4461
Dave Holland,{1305207},{dave_holland},Neville Hudson,169,4166,{254572},{nhudson},3027
Geoffrey Cox,{997336},{cobaltducks},Ralph Foster,168,4183,{388888},{rfoster},2673
Reiner Richter,{222137},{reiner},Nicholas John Fisher,168,22539,{473623},{dustaway},4461
Reiner Richter,{222137},{reiner},heathwallum,161,22539,{1429047},{heathwallum},771
Juha Kinnunen,{614374},{juhakinnunen},Jurga Motiejūnaitė,159,1558,{1369015},{jurga_li},8420
CheongWeei Gan,{44170},{gancw1},tlsv2,157,2050,,,2014
ladyrobyn,,,Alan Melville,152,736,,,5046
Kuan-Chieh (Chuck) Hung,{700672},{pseudoshuigeeee},fagushayata,147,4369,,,1773
Bob McDougall,{83288},{bobmcd},Alan Horstmann,145,3600,{677256},{alanhorstmann},2928
Reiner Richter,{222137},{reiner},oneanttofew,144,22539,{1706934},{oneanttofew},706
Соколков Юрий Павлович,{1467478},{sokolkov2002},Sergey Mayorov,144,4904,{1420575},{phlomis_2019},7352
Colin Trainor,{351706},{colintrainor},Reiner Richter,141,1875,{222137},{reiner},22231
QuestaGame,{196849},{questagame},Ralph Foster,139,21546,{388888},{rfoster},2673
