recorder,recorderid,recorderlogin,identifier,ids,records,identifierid,identifierlogin,totalids
TheKakarinka,{1719032},{thekakarinka},Michal Ducháček,136,1259,{933540},{duch},2792
Javier,,,Clinton Duffy,130,2865,{56848},{clinton},3252
QuestaGame,{196849},{questagame},James Bailey,128,21546,{6971},{silversea_starsong},8732
QuestaGame,{196849},{questagame},Ethan Beaver,125,21546,{1401423},{ethanbeaver},1097
Dave Holland,{1305207},{dave_holland},Tig,121,4166,,,10037
QuestaGame,{196849},{questagame},borisb,121,21546,,,10282
Alexis,,,borisb,114,11452,,,10282
Avery,,,Tig,112,844,,,10037
Dianne Clarke,{363260},{dianneclarke},Victor W Fazio III,111,1434,{13444},{vicfazio3},10437
Dianne Clarke,{363260},{dianneclarke},Neville Hudson,110,1434,{254572},{nhudson},3027
Kelvin Perrie,{773820},{kelvinperrie},Clinton Duffy,108,1165,{56848},{clinton},3252
James Bailey,{6971},{silversea_starsong},mark_smale,106,10404,{472475},{mark_smale},3363
Reiner Richter,{222137},{reiner},John Tann,103,22539,{1021482},{johntann99},584
Bob McDougall,{83288},{bobmcd},Colin Ralston,102,3600,{390621},{colin25},6743
Geoffrey Cox,{997336},{cobaltducks},Ellura Sanctuary,101,4183,,,1187
Dave Holland,{1305207},{dave_holland},reinderw,101,4166,{452510},{reinderw},1078
QuestaGame,{196849},{questagame},Wayne Martin,99,21546,{747028},{w_martin},924
QuestaGame,{196849},{questagame},David Mules,98,21546,{1768206},{hdavid},1144
James Bailey,{6971},{silversea_starsong},David Lyttle,97,10404,{58573},{david_lyttle},2737
Tim,,,Thomas Mesaglio,95,3412,{1138587},{thebeachcomber},6579
hein,{1563639},{heinonlein},borisb,95,1707,,,10282
Lenka Janochova,{1598610},{lenkajanochova},Michal Ducháček,93,698,{933540},{duch},2792
tangatawhenua,{125707},{tangatawhenua},Clinton Duffy,93,1774,{56848},{clinton},3252
ladyrobyn,,,Thomas Mesaglio,92,736,{1138587},{thebeachcomber},6579
Martin Grimm,{32124},{martingrimm},borisb,91,6965,,,10282
QuestaGame,{196849},{questagame},Greg Tasney,90,21546,,,364
Firos AK,{342643},{firos_ak},Rajesh Balakrishnan,90,1987,{1097231},{rajesh_balakrishnan},689
QuestaGame,{196849},{questagame},annbentley,90,21546,,,386
QuestaGame,{196849},{questagame},Lloyd Esler,90,21546,{56932},{lloyd_esler},6721
Reiner Richter,{222137},{reiner},Tom May,90,22539,,,672
Ryan Cooke,{469469},{ryancooke},Jay Horn,89,1804,{1367410},{jayhorn},6812
sea-kangaroo,{2991},{sea-kangaroo},Barbara L. Wilson,87,10297,{1309897},{sedgequeen},5495
Shamil Murtazin,{974484},{rumpelstiltskin},cossus,87,1041,{1325862},{cossus},1295
Geoffrey Cox,{997336},{cobaltducks},Alan Dandie,87,4183,{2461869},{alan_dandie},313
tjeales,{1274785},{tjeales},Matthew Connors,85,1343,{659121},{matthew_connors},5798
Rejoice Gassah,{506512},{rejoicegassah},Amila P Sumanapala,85,2366,{56488},{amila_sumanapala},2085
Reiner Richter,{222137},{reiner},Victor W Fazio III,85,22539,{13444},{vicfazio3},10437
Mike,,,Alex Wright,83,4718,{205278},{ajwright},4980
Ken Harris EntSocVic,{717200},{kenharris},Victor W Fazio III,82,4892,{13444},{vicfazio3},10437
QuestaGame,{196849},{questagame},WonGun Kim,81,21546,,,4584
CK Kelly,{264009},{ck2az},David,81,32852,,,2864
CK Kelly,{264009},{ck2az},Sean Cozart,80,32852,{29091},{birdwhisperer},5854
Mary Joyce,{58489},{majo00},Dave Holland,79,1378,{1305207},{dave_holland},3306
QuestaGame,{196849},{questagame},Nathan Odgers,79,21546,{287994},{crellow},499
tangatawhenua,{125707},{tangatawhenua},Marley Ford,78,1774,{271880},{marleyii},1896
Henry de Lange,{552380},{henrydelange},qgrobler,77,1292,{669488},{qgrobler},709
Reiner Richter,{222137},{reiner},Guy Taseski,76,22539,{706931},{gtaseski},1046
David Spencer Muirhead,{355842},{davemmdave},Ellura Sanctuary,75,2693,,,1187
James Bailey,{6971},{silversea_starsong},Neville Hudson,74,10404,{254572},{nhudson},3027
QuestaGame,{196849},{questagame},Thilina Hettiarachchi,73,21546,{1578246},{thilinahettiarachchi},380
Denis Makhnovsky,{973677},{denis_m},borisb,73,1346,,,10282
Dave Holland,{1305207},{dave_holland},Jakob Fahr,72,4166,{5643},{jakob},3829
Tony Strazzari,{969302},{tonydiver},Mark Rosenstein,72,2407,{10787},{maractwin},9149
A Emmerson,{1527518},{a_emmerson},Tig,70,7624,,,10037
David Spencer Muirhead,{355842},{davemmdave},Matt Tank,69,2693,{772305},{mtank},2278
Alexis,,,Jurga Motiejūnaitė,69,11452,{1369015},{jurga_li},8420
svg52,{1509945},{svg52},mnauky,69,2792,{1638987},{mnauky},4829
Colin Ralston,{390621},{colin25},Tony Rebelo,69,3407,,,4031
Samuel Messner,,,borisb,69,223,,,10282
Dave Holland,{1305207},{dave_holland},Clinton Duffy,69,4166,{56848},{clinton},3252
QuestaGame,{196849},{questagame},Dave Holland,68,21546,{1305207},{dave_holland},3306
David Spencer Muirhead,{355842},{davemmdave},Ralph Foster,67,2693,{388888},{rfoster},2673
Dave Holland,{1305207},{dave_holland},Leon Perrie,67,4166,{57754},{leonperrie},2722
Dave Holland,{1305207},{dave_holland},borisb,67,4166,,,10282
James Bailey,{6971},{silversea_starsong},John Van den Hoeven,67,10404,,,587
Dave Holland,{1305207},{dave_holland},Stephen Thorpe,67,4166,,,3479
QuestaGame,{196849},{questagame},Antoni Camozzato,67,21546,{1802650},{chuditch},1832
Dave Holland,{1305207},{dave_holland},Rolf Theodor Borlinghaus,67,4166,{736290},{rolftheobo},3087
Dave Slager,{56560},{slager},Alex Wright,66,540,{205278},{ajwright},4980
QuestaGame,{196849},{questagame},Jackson Nugent,65,21546,{799212},{jacksonnugent},481
hein,{1563639},{heinonlein},Ron Rave,65,1707,,,691
QuestaGame,{196849},{questagame},vavilovian_mimic,65,21546,{1477617},{vavilovian_mimic},637
Yan Cai,{601423},{huzi0131},Roger C. Kendrick,64,457,,,1191
scribbles,{1861399},{scribbles},heathwallum,64,739,{1429047},{heathwallum},771
Colin Trainor,{351706},{colintrainor},John Tann,63,1875,{1021482},{johntann99},584
Zdeňka Nováková,{1476490},{zdekanovkov},Michal Ducháček,63,1250,{933540},{duch},2792
Star Richens,{1363605},{tripleaxel},Lloyd Esler,63,305,{56932},{lloyd_esler},6721
Jakob Fahr,{5643},{jakob},Jurga Motiejūnaitė,62,2368,{1369015},{jurga_li},8420
QuestaGame,{196849},{questagame},Joel Poyitt,61,21546,{738376},{joelp},1201
Mary Joyce,{58489},{majo00},David Lyttle,61,1378,{58573},{david_lyttle},2737
David McCorquodale,{479031},{dbmcc09},John Ascher,61,7233,{419371},{johnascher},17709
Thorsten Usée,{740345},{tusee},borisb,61,1006,,,10282
Thomas Mesaglio,{1138587},{thebeachcomber},Matthew Connors,61,2327,{659121},{matthew_connors},5798
Marina Gorbunova,,,Konstantin,60,9061,,,1390
Marina Gorbunova,,,Jurga Motiejūnaitė,60,9061,{1369015},{jurga_li},8420
James Bailey,{6971},{silversea_starsong},Dave Holland,59,10404,{1305207},{dave_holland},3306
Lila,,,Michael Keogh,59,477,,,2045
Leon Perrie,{57754},{leonperrie},David Lyttle,59,1956,{58573},{david_lyttle},2737
Even Dankowicz,{165078},{edanko},Ron Frumkin,59,4890,{1097120},{ronf},3575
elawrey,{859490},{elawrey},Tony van Kampen,59,812,{1551892},{aavankampen},619
sea-kangaroo,{2991},{sea-kangaroo},Nathan Taylor,59,10297,{43815},{nathantaylor},6106
Victor W Fazio III,{13444},{vicfazio3},Jeff,59,7523,,,6346
Dan Monceaux,{521497},{danimations},Matt Tank,58,801,{772305},{mtank},2278
Stephen Moores,{350459},{stephen54},Tig,58,1924,,,10037
Jurga Motiejūnaitė,{1369015},{jurga_li},borisb,57,6153,,,10282
Вячеслав Юсупов,{1348027},{tomegatherion},Sergey Mayorov,57,2559,{1420575},{phlomis_2019},7352
Emanuele Santarelli,{1290751},{esant},borisb,57,1514,,,10282
regb,{486445},{regb},Thomas Mesaglio,56,192,{1138587},{thebeachcomber},6579
Dr. Alison Northup,{438488},{alisonnorthup},Jay Horn,56,3439,{1367410},{jayhorn},6812
QuestaGame,{196849},{questagame},Clinton Duffy,56,21546,{56848},{clinton},3252
Robert Briggs,{854978},{robert_briggs},Stephen Thorpe,56,635,,,3479
QuestaGame,{196849},{questagame},Shanelle Wikramanayake,55,21546,{625799},{shanelle97},333
QuestaGame,{196849},{questagame},David Jeffrey Ringer,55,21546,{792319},{djringer},3941
Thomas Mesaglio,{1138587},{thebeachcomber},Guy Taseski,55,2327,{706931},{gtaseski},1046
Mary Joyce,{58489},{majo00},mark_smale,55,1378,{472475},{mark_smale},3363
Dr. Alison Northup,{438488},{alisonnorthup},Nathan Taylor,54,3439,{43815},{nathantaylor},6106
Anne,,,borisb,53,915,,,10282
QuestaGame,{196849},{questagame},napoleon1799,53,21546,{762836},{napoleon1799},2226
Daniel Kurek,{430342},{d_kurek},David Akers,53,1408,{1507403},{daviaker},4200
Daniel Kurek,{430342},{d_kurek},Victor W Fazio III,53,1408,{13444},{vicfazio3},10437
QuestaGame,{196849},{questagame},Mieke A Lee,52,21546,,,2092
Mark Rosenstein,{10787},{maractwin},joe_fish,52,3995,{630365},{joe_fish},1461
Gray Catanzaro,,,Ty Smith,52,1904,{458167},{tysmith},2862
Jeremy Barker,{464262},{jeremybarker},Rolf Theodor Borlinghaus,52,2681,{736290},{rolftheobo},3087
QuestaGame,{196849},{questagame},Abigail Nelson,52,21546,{784189},{abigial41},485
Aniruddha Singhamahapatra,{951127},{aniruddha_singhamahapatra},Rejoice Gassah,52,3573,{506512},{rejoicegassah},2331
QuestaGame,{196849},{questagame},Tom May,52,21546,,,672
QuestaGame,{196849},{questagame},Susanna Heideman,51,21546,{399948},{susanna_h},2216
Reiner Richter,{222137},{reiner},Alan Melville,51,22539,,,5046
Jesse Rorabaugh,{52839},{glmory},Nathan Taylor,51,2365,{43815},{nathantaylor},6106
Aniruddha Singhamahapatra,{951127},{aniruddha_singhamahapatra},anilamanalil,51,3573,{735021},{anilamanalil},1673
Victor W Fazio III,{13444},{vicfazio3},Nicholas John Fisher,51,7523,{473623},{dustaway},4461
Dave Holland,{1305207},{dave_holland},John Barkla,50,4166,{57756},{john_barkla},2586
Daniel Kurek,{430342},{d_kurek},Michael Keogh,50,1408,,,2045
Jim,,,borisb,50,4574,,,10282
Nathan,,,Prakrit Jain,50,1816,,,1613
Jon Sullivan,{1115},{jon_sullivan},mark_smale,49,4503,{472475},{mark_smale},3363
QuestaGame,{196849},{questagame},patrick_campbell,49,21546,,,196
tangatawhenua,{125707},{tangatawhenua},mark_smale,49,1774,{472475},{mark_smale},3363
QuestaGame,{196849},{questagame},Adam Brice,48,21546,,,133
Elio Giacone,{1395828},{elkvorr},Valerio Lazzeri,48,5500,{384954},{blue_celery},2903
Reiner Richter,{222137},{reiner},Ralph Foster,48,22539,{388888},{rfoster},2673
QuestaGame,{196849},{questagame},Kari Pihlaviita,48,21546,{97992},{pihlaviita},1303
Robert Briggs,{854978},{robert_briggs},Neville Hudson,48,635,{254572},{nhudson},3027
Steven Kurniawidjaja,{220795},{neontetraploid},Tan Kok Hui,48,2126,{47594},{kokhuitan},1789
Jon Sullivan,{1115},{jon_sullivan},Finn Davey,48,4503,{443856},{skipperdogman},1406
Соколков Юрий Павлович,{1467478},{sokolkov2002},cossus,48,4904,{1325862},{cossus},1295
QuestaGame,{196849},{questagame},obscurus,48,21546,{750368},{obscurus},2022
scribbles,{1861399},{scribbles},Tony van Kampen,48,739,{1551892},{aavankampen},619
QuestaGame,{196849},{questagame},leithallb,47,21546,{412258},{leithallb},784
Tim,,,Guy Taseski,47,3412,{706931},{gtaseski},1046
QuestaGame,{196849},{questagame},Ian McMaster,47,21546,{322120},{imcmaster},4165
Thomas Mesaglio,{1138587},{thebeachcomber},heathwallum,47,2327,{1429047},{heathwallum},771
James Bailey,{6971},{silversea_starsong},Stephen Thorpe,47,10404,,,3479
Reiner Richter,{222137},{reiner},Jonathan Hoskins,46,22539,,,3205
Mira,,,Jeremy Hussell,46,1357,{367383},{jeremyhussell},2635
David Spencer Muirhead,{355842},{davemmdave},Alan Dandie,46,2693,{2461869},{alan_dandie},313
Rejoice Gassah,{506512},{rejoicegassah},anilamanalil,46,2366,{735021},{anilamanalil},1673
Emanuele Santarelli,{1290751},{esant},Valerio Lazzeri,46,1514,{384954},{blue_celery},2903
James Bailey,{6971},{silversea_starsong},Matthew Connors,46,10404,{659121},{matthew_connors},5798
Nathan Odgers,{287994},{crellow},Lloyd Esler,46,673,{56932},{lloyd_esler},6721
ladyrobyn,,,Jenny Donald,46,736,{102726},{jadonald},2226
Reiner Richter,{222137},{reiner},Martin Lagerwey,46,22539,,,210
Victor W Fazio III,{13444},{vicfazio3},Matthew Connors,45,7523,{659121},{matthew_connors},5798
tjeales,{1274785},{tjeales},heathwallum,45,1343,{1429047},{heathwallum},771
Victor W Fazio III,{13444},{vicfazio3},Bevan Buirchell,45,7523,,,430
svg52,{1509945},{svg52},jkt,45,2792,{1510949},{jkt},2288
Tony Strazzari,{969302},{tonydiver},Sascha Schulz,45,2407,{353565},{sascha_schulz},756
QuestaGame,{196849},{questagame},John Tann,44,21546,{1021482},{johntann99},584
David Spencer Muirhead,{355842},{davemmdave},Mike,44,2693,,,4789
regb,{486445},{regb},Alan Melville,44,192,,,5046
Daniel Kurek,{430342},{d_kurek},Reiner Richter,44,1408,{222137},{reiner},22231
Lisa Bennett,{59227},{lisa_bennett},Javier,44,839,,,3501
sea-kangaroo,{2991},{sea-kangaroo},Heather Fulton-Bennett,44,10297,,,3558
Jon Sullivan,{1115},{jon_sullivan},Dave Holland,44,4503,{1305207},{dave_holland},3306
Dave Holland,{1305207},{dave_holland},Steve Kerr,44,4166,{58307},{steve_kerr},896
Dave Holland,{1305207},{dave_holland},Chris Ecroyd,44,4166,{59179},{chrise},2435
QuestaGame,{196849},{questagame},stephenmahony,44,21546,{737622},{stephenmahony},182
Emanuele Santarelli,{1290751},{esant},Lupoli Roland,43,1514,{1530852},{lupoli_roland},5207
QuestaGame,{196849},{questagame},james_nankivell,43,21546,{1080249},{james_nankivell},135
Lisa Bennett,{59227},{lisa_bennett},Clinton Duffy,43,839,{56848},{clinton},3252
QuestaGame,{196849},{questagame},Kent Warner,43,21546,{1267247},{take2},246
Colin Ralston,{390621},{colin25},Alan Horstmann,43,3407,{677256},{alanhorstmann},2928
Tim,,,Mark Rosenstein,42,3412,{10787},{maractwin},9149
QuestaGame,{196849},{questagame},Russell Massang,42,21546,{17687},{russ87},119
Reiner Richter,{222137},{reiner},Pete Woodall,42,22539,{108966},{nyoni-pete},2389
QuestaGame,{196849},{questagame},Guy Taseski,42,21546,{706931},{gtaseski},1046
Mark Rosenstein,{10787},{maractwin},Hsini Lin,42,3995,{405817},{hsini_lin},630
Henry de Lange,{552380},{henrydelange},Colin Ralston,42,1292,{390621},{colin25},6743
QuestaGame,{196849},{questagame},Chudamani Kashyap,42,21546,,,1335
triciastewart,{1458557},{triciastewart},Michael Keogh,42,1526,,,2045
Jurga Motiejūnaitė,{1369015},{jurga_li},Colin Ralston,42,6153,{390621},{colin25},6743
Pablo Fraire,{1364542},{pablof},Emanuele Santarelli,42,1086,{1290751},{esant},1963
QuestaGame,{196849},{questagame},Alex,42,21546,,,1408
Luis Mata EntSocVic,{14240},{lmata},Michael Keogh,42,887,,,2045
Jesse Rorabaugh,{52839},{glmory},Krissa Klein,42,2365,{17695},{graysquirrel},11732
Frank Izaguirre,{154438},{birdizlife},Jay Horn,41,2251,{1367410},{jayhorn},6812
Melinda Thompson,{999683},{plantgirl1},Jane Widness,41,1474,,,7245
James Bailey,{6971},{silversea_starsong},Clinton Duffy,41,10404,{56848},{clinton},3252
Jon Sullivan,{1115},{jon_sullivan},David Lyttle,41,4503,{58573},{david_lyttle},2737
Вячеслав Юсупов,{1348027},{tomegatherion},borisb,41,2559,,,10282
Rejoice Gassah,{506512},{rejoicegassah},John Ascher,41,2366,{419371},{johnascher},17709
roomthily,{442615},{roomthily},John Ascher,41,4783,{419371},{johnascher},17709
Kelvin Perrie,{773820},{kelvinperrie},Javier,41,1165,,,3501
QuestaGame,{196849},{questagame},heathwallum,41,21546,{1429047},{heathwallum},771
Reiner Richter,{222137},{reiner},Tony van Kampen,40,22539,{1551892},{aavankampen},619
QuestaGame,{196849},{questagame},Claudia Schipp,40,21546,{746590},{claudiarose},102
Calli,,,Ves,40,2445,{539598},{sylbird},5290
Even Dankowicz,{165078},{edanko},Grant Schiermeyer,40,4890,,,1829
Jakob Fahr,{5643},{jakob},Rolf Theodor Borlinghaus,40,2368,{736290},{rolftheobo},3087
Nuwan Chathuranga,{8828},{nuwan},Amila P Sumanapala,40,372,{56488},{amila_sumanapala},2085
QuestaGame,{196849},{questagame},Simon Grove (TMAG),39,21546,,,183
CK Kelly,{264009},{ck2az},Alex Harman,39,32852,{579740},{alex_cicindela_guy},3182
Tony Strazzari,{969302},{tonydiver},Hsini Lin,39,2407,{405817},{hsini_lin},630
A Emmerson,{1527518},{a_emmerson},Ian Andrews,39,7624,{1853409},{ophrys},891
Reiner Richter,{222137},{reiner},Scott W. Gavins,39,22539,{1774496},{scottwgavins},598
QuestaGame,{196849},{questagame},Robert Briggs,39,21546,{854978},{robert_briggs},1155
QuestaGame,{196849},{questagame},Bridget Spencer,39,21546,{147592},{bridgetspencer},3359
Ian McMaster,{322120},{imcmaster},Matthew Connors,39,5007,{659121},{matthew_connors},5798
Reiner Richter,{222137},{reiner},tony_d,39,22539,{692058},{tony_d},236
Ian McMaster,{322120},{imcmaster},Bevan Buirchell,38,5007,,,430
CK Kelly,{264009},{ck2az},Jeff,38,32852,,,6346
Jesse Rorabaugh,{52839},{glmory},Michael Keogh,38,2365,,,2045
Jack Farley,{1043169},{jfarley25},Owen Strickland,38,1770,{1029721},{owenstrickland},3000
James Bailey,{6971},{silversea_starsong},Leon Perrie,38,10404,{57754},{leonperrie},2722
Reiner Richter,{222137},{reiner},borisb,38,22539,,,10282
Bob McDougall,{83288},{bobmcd},Michal Sloviak,38,3600,{1642196},{michalsloviak},1871
James Bailey,{6971},{silversea_starsong},Jon Sullivan,38,10404,{1115},{jon_sullivan},4574
Marina Gorbunova,,,borisb,38,9061,,,10282
QuestaGame,{196849},{questagame},Lek Khauv,37,21546,{59123},{lek},417
Jason Grant,{186163},{jasonrgrant},Jurga Motiejūnaitė,37,1896,{1369015},{jurga_li},8420
Martin Grimm,{32124},{martingrimm},Rolf Theodor Borlinghaus,37,6965,{736290},{rolftheobo},3087
Thomas Mesaglio,{1138587},{thebeachcomber},Reiner Richter,37,2327,{222137},{reiner},22231
John Sullivan,,,Amila P Sumanapala,37,1270,{56488},{amila_sumanapala},2085
Tim,,,Valia Pavlou,37,3412,{1441483},{karakaxa},3856
QuestaGame,{196849},{questagame},d_kluza,37,21546,{13200},{d_kluza},3895
Jonathan Newman,{1420308},{antshrike69},tlsv2,37,657,,,2014
Tony Strazzari,{969302},{tonydiver},Matt Tank,37,2407,{772305},{mtank},2278
Jon Sullivan,{1115},{jon_sullivan},Stephen Thorpe,37,4503,,,3479
QuestaGame,{196849},{questagame},Francesco Vitali,36,21546,{305},{vitalfranz},3652
Dianne Clarke,{363260},{dianneclarke},Ian McMaster,36,1434,{322120},{imcmaster},4165
Martin Grimm,{32124},{martingrimm},mnauky,36,6965,{1638987},{mnauky},4829
QuestaGame,{196849},{questagame},Jane Widness,36,21546,,,7245
Geoffrey Cox,{997336},{cobaltducks},Reiner Richter,36,4183,{222137},{reiner},22231
Dr. Alison Northup,{438488},{alisonnorthup},Edwin Bridges,36,3439,{1389244},{edwinbridges},1871
Jurga Motiejūnaitė,{1369015},{jurga_li},Alan Horstmann,35,6153,{677256},{alanhorstmann},2928
Shawn O'Donnell,{399851},{shawnodonnell},Tan Kok Hui,35,1556,{47594},{kokhuitan},1789
CheongWeei Gan,{44170},{gancw1},Tan Kok Hui,35,2050,{47594},{kokhuitan},1789
Soh Kam Yung,{162339},{sohkamyung},tlsv2,35,1629,,,2014
James Bailey,{6971},{silversea_starsong},Marley Ford,35,10404,{271880},{marleyii},1896
CK Kelly,{264009},{ck2az},Joshua Smith,35,32852,,,2274
Dave Holland,{1305207},{dave_holland},John Van den Hoeven,35,4166,,,587
Thomas Mesaglio,{1138587},{thebeachcomber},Victor W Fazio III,35,2327,{13444},{vicfazio3},10437
Jenny Donald,{102726},{jadonald},Alan Melville,35,1320,,,5046
Marina Gorbunova,,,Lupoli Roland,34,9061,{1530852},{lupoli_roland},5207
David Mules,{1768206},{hdavid},Victor W Fazio III,34,923,{13444},{vicfazio3},10437
QuestaGame,{196849},{questagame},Seth Miller,34,21546,{1463753},{sethmiller},1076
QuestaGame,{196849},{questagame},Daniel Kurek,34,21546,{430342},{d_kurek},1107
Ricky Taylor,{679321},{ricky_taylor},Colin Ralston,34,1270,{390621},{colin25},6743
ryvesie,{1212216},{ryvesie},Lloyd Esler,34,934,{56932},{lloyd_esler},6721
John Barkla,{57756},{john_barkla},Lloyd Esler,34,2067,{56932},{lloyd_esler},6721
Elliot Greiner,{292489},{elliotgreiner},Jeff,33,3950,,,6346
QuestaGame,{196849},{questagame},Firos AK,33,21546,{342643},{firos_ak},2207
QuestaGame,{196849},{questagame},Jakob Fahr,33,21546,{5643},{jakob},3829
Nathaniel Sharp,{171529},{nsharp},John Ascher,33,3222,{419371},{johnascher},17709
anukma,{730306},{anukma},tlsv2,33,556,,,2014
Rejoice Gassah,{506512},{rejoicegassah},pierotoni10,33,2366,,,774
Aniruddha Singhamahapatra,{951127},{aniruddha_singhamahapatra},Rajesh Balakrishnan,33,3573,{1097231},{rajesh_balakrishnan},689
Dianne Clarke,{363260},{dianneclarke},Nicholas John Fisher,33,1434,{473623},{dustaway},4461
Reiner Richter,{222137},{reiner},Petra Gloyn,33,22539,{169891},{petragloyn},769
QuestaGame,{196849},{questagame},Ry Beaver,33,21546,{9028},{ryber},177
QuestaGame,{196849},{questagame},psweet,33,21546,,,3177
Kritsada Moomuang,,,Noppadon Makbun,33,249,,,509
Mary Joyce,{58489},{majo00},John Barkla,33,1378,{57756},{john_barkla},2586
QuestaGame,{196849},{questagame},Lisa Bennett,33,21546,{59227},{lisa_bennett},889
Erin Powell,{645281},{erincpow},Neville Hudson,32,292,{254572},{nhudson},3027
QuestaGame,{196849},{questagame},Bevan Buirchell,32,21546,,,430
Dan Monceaux,{521497},{danimations},Mike,32,801,,,4789
