name,value
Insecta,12488
Aves,11411
Plantae,4285
Arachnida,2407
Reptilia,1564
Fungi,1447
Animalia,1360
Mammalia,1248
Amphibia,596
Mollusca,580
Actinopterygii,242
Chromista,23
Protozoa,8
