year,month,date,centergeojson,n_geoms,std_dist_km
2019,1,1/2019,"{""type"":""Point"",""coordinates"":[139.594646145,-30.18255056]}",8575,2276.326134239211
2019,2,2/2019,"{""type"":""Point"",""coordinates"":[139.688122096,-30.578098037]}",4323,1975.0355485650705
2019,3,3/2019,"{""type"":""Point"",""coordinates"":[131.5838501,-25.37660535]}",4453,2273.190681475616
2019,4,4/2019,"{""type"":""Point"",""coordinates"":[116.922688837,-16.337336737]}",12837,1400.100774335474
2019,5,5/2019,"{""type"":""Point"",""coordinates"":[132.415887545,-21.562742568]}",3115,2542.0692906343343
2019,6,6/2019,"{""type"":""Point"",""coordinates"":[132.347907063,-20.1927907]}",3558,2827.7382137078853
2019,7,7/2019,"{""type"":""Point"",""coordinates"":[136.152525616,-17.964018081]}",896,2574.871015157124
