year,month,date,count_obs,count_obscured
2019,1,1/2019,9,8566
2019,2,2/2019,39,4284
2019,3,3/2019,4100,353
2019,4,4/2019,12547,291
2019,5,5/2019,3086,29
2019,6,6/2019,3506,52
2019,7,7/2019,889,7
