date,centergeojson,n_geoms,std_dist_km
2019-01-01,"{""type"":""Point"",""coordinates"":[138.949727742,-32.04602012]}",438,2086.518824997255
2019-01-02,"{""type"":""Point"",""coordinates"":[143.80934291,-32.398125842]}",379,1447.3402393261165
2019-01-03,"{""type"":""Point"",""coordinates"":[144.049234458,-32.103802559]}",367,1526.3906320693886
2019-01-04,"{""type"":""Point"",""coordinates"":[143.719805456,-32.089024209]}",336,1264.0156810167632
2019-01-05,"{""type"":""Point"",""coordinates"":[137.51457168,-30.679023916]}",346,2386.468611313465
2019-01-06,"{""type"":""Point"",""coordinates"":[144.483992001,-31.593593258]}",477,1456.078418282551
2019-01-07,"{""type"":""Point"",""coordinates"":[137.454759984,-31.110894277]}",296,2970.411723036269
2019-01-08,"{""type"":""Point"",""coordinates"":[143.295581947,-31.702618639]}",265,2013.9326237609603
2019-01-09,"{""type"":""Point"",""coordinates"":[138.612396081,-30.502245786]}",277,2981.252999286191
2019-01-10,"{""type"":""Point"",""coordinates"":[139.752694737,-30.221793515]}",308,2919.9701657048568
2019-01-11,"{""type"":""Point"",""coordinates"":[143.281585654,-32.110960149]}",288,1789.8259462660815
2019-01-12,"{""type"":""Point"",""coordinates"":[141.433196591,-32.14508011]}",257,2088.651055631359
2019-01-13,"{""type"":""Point"",""coordinates"":[139.894226521,-30.012754484]}",303,2349.014639766358
2019-01-14,"{""type"":""Point"",""coordinates"":[137.361044124,-29.23308613]}",207,2445.2105561858534
2019-01-15,"{""type"":""Point"",""coordinates"":[138.199352549,-31.087316797]}",255,3061.3983616879345
2019-01-16,"{""type"":""Point"",""coordinates"":[138.409403083,-29.400324457]}",178,2587.6736911928615
2019-01-17,"{""type"":""Point"",""coordinates"":[139.74107824,-29.584947844]}",196,2488.4273289693333
2019-01-18,"{""type"":""Point"",""coordinates"":[133.85413858,-29.659673924]}",184,2532.9971185877025
2019-01-19,"{""type"":""Point"",""coordinates"":[139.980579484,-31.265399161]}",336,1785.475184987847
2019-01-20,"{""type"":""Point"",""coordinates"":[134.726647513,-26.822798513]}",322,2245.9517119800053
2019-01-21,"{""type"":""Point"",""coordinates"":[130.976038572,-24.340073265]}",235,1993.9529455142358
2019-01-22,"{""type"":""Point"",""coordinates"":[134.300707063,-26.152170185]}",261,2973.352003069925
2019-01-23,"{""type"":""Point"",""coordinates"":[133.345580144,-25.929519461]}",243,2640.602533383864
2019-01-24,"{""type"":""Point"",""coordinates"":[133.453150842,-26.446925936]}",205,2573.8009328217317
2019-01-25,"{""type"":""Point"",""coordinates"":[142.003730652,-27.724349014]}",251,1882.0774375917408
2019-01-26,"{""type"":""Point"",""coordinates"":[139.394052098,-29.548325354]}",290,2212.244392341909
2019-01-27,"{""type"":""Point"",""coordinates"":[143.322781075,-32.499278927]}",221,1127.2238420711255
2019-01-28,"{""type"":""Point"",""coordinates"":[143.208231103,-30.7600707]}",292,1190.7786215741753
2019-01-29,"{""type"":""Point"",""coordinates"":[133.767857104,-29.904435702]}",226,2416.4984523470166
