date,count_ids
2019-01-01,5
2019-01-02,14
2019-01-03,8
2019-01-04,6
2019-01-05,10
2019-01-06,14
2019-01-07,8
2019-01-08,7
2019-01-09,3
2019-01-10,7
2019-01-11,4
2019-01-12,9
2019-01-13,10
2019-01-14,5
2019-01-15,7
2019-01-16,5
2019-01-17,1
2019-01-18,7
2019-01-19,2
2019-01-20,4
2019-01-21,3
2019-01-22,2
2019-01-23,6
2019-01-24,4
2019-01-25,9
2019-01-26,5
2019-01-27,6
2019-01-28,9
2019-01-29,8
2019-01-30,2
2019-01-31,3
2019-02-01,2
2019-02-02,1
2019-02-03,2
2019-02-04,2
2019-02-05,1
2019-02-06,2
2019-02-07,3
2019-02-09,3
2019-02-10,2
2019-02-11,3
2019-02-12,3
2019-02-13,1
2019-02-14,5
2019-02-15,8
2019-02-16,5
2019-02-17,2
2019-02-18,4
2019-02-19,8
2019-02-20,3
2019-02-22,4
2019-02-23,2
2019-02-24,3
2019-02-25,2
2019-02-26,3
2019-02-27,8
2019-02-28,1
2019-03-01,3
2019-03-02,2
2019-03-06,1
2019-03-07,2
2019-03-08,1
2019-03-09,1
2019-03-10,1
2019-03-11,1
2019-03-12,3
2019-03-13,2
2019-03-14,1
2019-03-16,7
2019-03-17,2
2019-03-18,4
2019-03-19,3
2019-03-20,6
2019-03-21,9
2019-03-22,3
2019-03-23,1
2019-03-24,7
2019-03-25,7
2019-03-26,5
2019-03-27,4
2019-03-28,3
2019-03-29,5
2019-03-30,2
2019-03-31,13
2019-04-01,22
2019-04-02,21
2019-04-03,22
2019-04-04,15
2019-04-05,22
2019-04-06,41
2019-04-07,22
2019-04-08,36
2019-04-09,24
2019-04-10,24
2019-04-11,23
2019-04-12,22
2019-04-13,25
2019-04-14,40
2019-04-15,25
2019-04-16,15
2019-04-17,32
2019-04-18,16
2019-04-19,31
2019-04-20,23
2019-04-21,28
2019-04-22,10
2019-04-23,30
2019-04-24,39
2019-04-25,7
2019-04-26,38
2019-04-27,44
2019-04-28,31
2019-04-29,35
2019-04-30,32
2019-05-01,6
2019-05-02,4
2019-05-03,4
2019-05-04,3
2019-05-05,7
2019-05-06,2
2019-05-07,5
2019-05-08,2
2019-05-09,4
2019-05-10,3
2019-05-11,3
2019-05-12,4
2019-05-13,3
2019-05-14,3
2019-05-15,5
2019-05-16,3
2019-05-17,2
2019-05-18,2
2019-05-19,2
2019-05-20,2
2019-05-21,2
2019-05-22,4
2019-05-23,3
2019-05-24,1
2019-05-25,2
2019-05-26,1
2019-05-27,2
2019-05-28,2
2019-05-29,3
2019-05-30,5
2019-05-31,2
2019-06-01,3
2019-06-02,1
2019-06-03,6
2019-06-04,2
2019-06-06,3
2019-06-07,1
2019-06-08,3
2019-06-09,4
2019-06-10,1
2019-06-11,6
2019-06-13,4
2019-06-14,4
2019-06-15,3
2019-06-16,2
2019-06-17,1
2019-06-18,1
2019-06-19,2
2019-06-20,2
2019-06-21,3
2019-06-22,4
2019-06-23,5
2019-06-25,2
2019-06-26,2
2019-06-27,6
2019-06-28,7
2019-06-29,17
2019-06-30,5
2019-07-01,2
2019-07-02,5
2019-07-03,1
2019-07-04,2
2019-07-05,1
2019-07-06,5
2019-07-07,1
2019-07-08,4
2019-07-09,1
2019-07-24,1
2019-08-04,1
2019-08-21,2
2019-08-29,1
2019-09-11,1
2019-09-14,4
2019-09-27,1
2019-10-02,1
2019-10-04,1
2019-11-07,3
2019-11-19,10
2019-12-13,2
