year,month,date,centergeojson,n_geoms,std_dist_km
2019,3,3/2019,"{""type"":""Point"",""coordinates"":[29.29572773,40.937229156]}",2,1.8314065630706813e-08
2019,6,6/2019,"{""type"":""Point"",""coordinates"":[29.262028694,40.980854034]}",2,0.0006740778517222072
