year,month,date,count_ids
2019,1,1/2019,9
2019,2,2/2019,28
2019,3,3/2019,19
2019,4,4/2019,82
2019,5,5/2019,283
2019,6,6/2019,280
2019,7,7/2019,216
2019,8,8/2019,305
2019,9,9/2019,431
2019,10,10/2019,176
2019,11,11/2019,155
2019,12,12/2019,145
