name,value
Deciduous broadleaf forests,1480
Woody Savannas,636
Urban and built-up lands,558
Savannas,289
Croplands,144
Mixed forests,37
Permanent wetlands,25
Evergreen broadleaf forests,19
Grasslands,12
Water bodies,6
Barren,1
Evergreen needleleaf forests,1
