date,centergeojson,n_geoms,std_dist_km
2019-01-01,"{""type"":""Point"",""coordinates"":[-84.850669861,39.797927856]}",1,
2019-01-02,"{""type"":""Point"",""coordinates"":[-84.850438436,39.797883352]}",6,0.020124252245986563
2019-01-03,"{""type"":""Point"",""coordinates"":[-84.849100113,39.796861649]}",4,0.01657332386325485
2019-01-05,"{""type"":""Point"",""coordinates"":[-84.332077026,39.817176819]}",1,
2019-01-07,"{""type"":""Point"",""coordinates"":[-75.309280396,41.0390625]}",1,
2019-01-10,"{""type"":""Point"",""coordinates"":[-75.340461731,41.119049072]}",1,
2019-01-17,"{""type"":""Point"",""coordinates"":[-75.343056997,41.13605086]}",12,0.015974664994381986
2019-01-23,"{""type"":""Point"",""coordinates"":[-75.237497965,41.117337969]}",9,0.03942114655143478
2019-02-02,"{""type"":""Point"",""coordinates"":[-75.646186829,41.408161163]}",1,
2019-02-06,"{""type"":""Point"",""coordinates"":[-75.326332375,41.093376584]}",27,12.190347291913964
2019-02-07,"{""type"":""Point"",""coordinates"":[-75.443447113,41.106405258]}",2,3.606244580975655e-10
2019-02-09,"{""type"":""Point"",""coordinates"":[-91.231481112,14.631207393]}",78,0.04131730663565133
2019-02-10,"{""type"":""Point"",""coordinates"":[-91.231436567,14.628603796]}",41,0.1259971056734814
2019-02-11,"{""type"":""Point"",""coordinates"":[-91.231564077,14.630160745]}",30,0.5832821491249855
2019-02-12,"{""type"":""Point"",""coordinates"":[-91.230791153,14.625533196]}",31,0.09556745823905634
2019-02-13,"{""type"":""Point"",""coordinates"":[-91.228983238,14.622358166]}",55,0.27841599535296696
2019-02-14,"{""type"":""Point"",""coordinates"":[-91.232598877,14.631324291]}",10,0.025738304191111495
2019-02-15,"{""type"":""Point"",""coordinates"":[-91.227212404,14.622847632]}",38,0.217492335424125
2019-02-16,"{""type"":""Point"",""coordinates"":[-91.232247247,14.631305907]}",9,0.01121913011518323
