year,month,date,count_obs,count_obscured
2019,1,1/2019,35,0
2019,2,2/2019,353,0
2019,3,3/2019,67,2
2019,4,4/2019,100,0
2019,5,5/2019,308,1
2019,6,6/2019,695,2
2019,7,7/2019,340,5
2019,8,8/2019,537,5
2019,9,9/2019,498,0
2019,10,10/2019,160,0
2019,11,11/2019,78,1
2019,12,12/2019,21,0
