name,value
Plantae,1643
Insecta,982
Fungi,221
Arachnida,155
Mollusca,66
Aves,34
Amphibia,29
Animalia,27
Reptilia,17
Mammalia,9
Protozoa,9
Actinopterygii,8
Chromista,3
