date,centergeojson,n_geoms,std_dist_km
2019-07-18,"{""type"":""Point"",""coordinates"":[-110.709480093,32.398669587]}",119,1.384239276770641
2019-07-19,"{""type"":""Point"",""coordinates"":[-110.702539444,32.340857824]}",36,0.2222349518900002
2019-07-22,"{""type"":""Point"",""coordinates"":[-110.714126587,32.383363641]}",69,1.969131831015259
2019-07-23,"{""type"":""Point"",""coordinates"":[-110.695921021,32.377656403]}",125,1.6979637363339546
2019-07-25,"{""type"":""Point"",""coordinates"":[-110.72281367,32.354701233]}",30,0.0028086551248932283
2019-07-26,"{""type"":""Point"",""coordinates"":[-110.711511993,32.369227982]}",20,1.6358951808590267
2019-07-29,"{""type"":""Point"",""coordinates"":[-110.727257957,32.385834761]}",71,1.6384296098814173
2019-08-01,"{""type"":""Point"",""coordinates"":[-110.707353721,32.382125854]}",251,2.591881694002982
2019-08-02,"{""type"":""Point"",""coordinates"":[-110.916702271,32.42628479]}",77,0
2019-08-06,"{""type"":""Point"",""coordinates"":[-110.697265926,32.333843984]}",76,1.2887646095929857
2019-08-07,"{""type"":""Point"",""coordinates"":[-110.691105944,32.337177845]}",47,0.0004935736431133079
2019-08-08,"{""type"":""Point"",""coordinates"":[-110.702775794,32.370608928]}",118,0.9292350727714876
2019-08-09,"{""type"":""Point"",""coordinates"":[-110.717903137,32.339385986]}",130,0
2019-08-12,"{""type"":""Point"",""coordinates"":[-110.717389374,32.339509239]}",100,0.3970598338927963
2019-08-13,"{""type"":""Point"",""coordinates"":[-110.690871148,32.337647569]}",95,0.0010949244121567058
2019-08-14,"{""type"":""Point"",""coordinates"":[-110.689224243,32.397895813]}",108,0
2019-08-15,"{""type"":""Point"",""coordinates"":[-108.559626579,31.981915512]}",104,1314.4435912370818
2019-08-16,"{""type"":""Point"",""coordinates"":[-110.734563502,32.357257378]}",123,6.555927655602987
2019-08-21,"{""type"":""Point"",""coordinates"":[-110.702034149,32.369635468]}",50,3.1515244065633015
2019-08-24,"{""type"":""Point"",""coordinates"":[-110.706965077,32.351131284]}",49,0.4701806578411069
2019-08-25,"{""type"":""Point"",""coordinates"":[-110.877144256,31.726595817]}",77,0.4370700131760054
2019-08-26,"{""type"":""Point"",""coordinates"":[-110.727119499,32.26665941]}",143,18.394589107628235
2019-08-27,"{""type"":""Point"",""coordinates"":[-110.689228906,32.397895813]}",108,0.0016117921131897233
2019-08-30,"{""type"":""Point"",""coordinates"":[-110.726875814,32.414978027]}",30,1.57324721957875
2019-08-31,"{""type"":""Point"",""coordinates"":[-110.876022847,31.717424138]}",15,0.8300594297199654
2019-09-03,"{""type"":""Point"",""coordinates"":[-110.717555858,32.339159054]}",135,0.0007038220306982898
2019-09-04,"{""type"":""Point"",""coordinates"":[-110.71754837,32.339166641]}",40,0.001139068724296797
2019-09-05,"{""type"":""Point"",""coordinates"":[-110.717556627,32.339162658]}",79,0.0015163571578343394
2019-09-07,"{""type"":""Point"",""coordinates"":[-110.872450436,31.720946144]}",17,3.6789847677325684
2019-09-09,"{""type"":""Point"",""coordinates"":[-109.839382313,32.219170135]}",81,12.578591118125996
2019-09-11,"{""type"":""Point"",""coordinates"":[-110.691121363,32.371615064]}",91,0.9331736603501187
2019-09-12,"{""type"":""Point"",""coordinates"":[-110.7186581,32.341211709]}",88,1.0218534918504232
2019-09-13,"{""type"":""Point"",""coordinates"":[-110.909645081,32.261497498]}",3,0
2019-09-16,"{""type"":""Point"",""coordinates"":[-110.955158997,32.256784058]}",5,6.12549307102941
2019-09-18,"{""type"":""Point"",""coordinates"":[-110.723326111,32.413042196]}",15,1.3353134449074062
2019-09-19,"{""type"":""Point"",""coordinates"":[-111.138702656,32.229263437]}",29,1.2406814668283206
2019-09-20,"{""type"":""Point"",""coordinates"":[-111.032416473,32.28324952]}",37,0.06748688943512587
2019-09-22,"{""type"":""Point"",""coordinates"":[-110.702155173,32.325820442]}",111,0.7787691605187289
2019-09-23,"{""type"":""Point"",""coordinates"":[-110.765989939,32.300944646]}",6,4.642673911205701
2019-09-25,"{""type"":""Point"",""coordinates"":[-110.820541382,32.310245514]}",1,
2019-09-26,"{""type"":""Point"",""coordinates"":[-110.69893601,32.373504761]}",219,1.2540692424517292
2019-09-27,"{""type"":""Point"",""coordinates"":[-110.881782774,31.732487603]}",63,0.6788308843192006
2019-09-28,"{""type"":""Point"",""coordinates"":[-110.94336319,32.283935547]}",2,1.1247240462659339e-07
2019-09-29,"{""type"":""Point"",""coordinates"":[-110.715415328,32.333985263]}",73,1.303452236286541
2019-10-03,"{""type"":""Point"",""coordinates"":[-118.108523687,33.844035149]}",12,3.359068064596766
2019-10-04,"{""type"":""Point"",""coordinates"":[-118.322937012,33.342041779]}",10,0.022613988428888232
2019-10-05,"{""type"":""Point"",""coordinates"":[-118.323624747,33.343218667]}",7,0.29547324830973704
2019-10-11,"{""type"":""Point"",""coordinates"":[-110.909751892,32.261497498]}",1,
