year,month,date,count_ids
2019,1,1/2019,663
2019,2,2/2019,285
2019,3,3/2019,202
2019,4,4/2019,255
2019,5,5/2019,230
2019,6,6/2019,390
2019,7,7/2019,381
2019,8,8/2019,540
2019,9,9/2019,463
2019,10,10/2019,73
2019,11,11/2019,23
2019,12,12/2019,12
