year,month,date,centergeojson,n_geoms,std_dist_km
2019,1,1/2019,"{""type"":""Point"",""coordinates"":[114.078330994,-2.323737741]}",2,0.014495726448628236
2019,2,2/2019,"{""type"":""Point"",""coordinates"":[-109.899281738,32.20253724]}",282,820.1561412615553
2019,3,3/2019,"{""type"":""Point"",""coordinates"":[-110.729815372,32.329751142]}",480,5.587177080998336
2019,4,4/2019,"{""type"":""Point"",""coordinates"":[-110.708904114,32.351960165]}",627,2.12395861177303
2019,5,5/2019,"{""type"":""Point"",""coordinates"":[-110.270017993,32.33317784]}",481,608.271734916341
2019,6,6/2019,"{""type"":""Point"",""coordinates"":[-110.459318706,32.332659968]}",924,460.20707951731487
2019,7,7/2019,"{""type"":""Point"",""coordinates"":[-110.702740979,32.374428698]}",1196,2.4983959026728386
2019,8,8/2019,"{""type"":""Point"",""coordinates"":[-110.595453216,32.301482624]}",1701,325.47682109813087
2019,9,9/2019,"{""type"":""Point"",""coordinates"":[-110.681167115,32.289102659]}",1095,23.79906525714496
2019,10,10/2019,"{""type"":""Point"",""coordinates"":[-117.990225983,33.507095591]}",30,116.60529753799314
