year,month,date,count_obs,count_obscured
2019,1,1/2019,2,0
2019,2,2/2019,282,0
2019,3,3/2019,480,0
2019,4,4/2019,624,3
2019,5,5/2019,479,2
2019,6,6/2019,921,3
2019,7,7/2019,1194,2
2019,8,8/2019,1697,4
2019,9,9/2019,1082,13
2019,10,10/2019,25,5
