year,month,date,count_ids
2020,1,1/2020,22
2020,2,2/2020,26
2020,3,3/2020,159
2020,4,4/2020,380
2020,5,5/2020,305
2020,6,6/2020,95
2020,7,7/2020,337
2020,8,8/2020,357
2020,9,9/2020,797
2020,10,10/2020,143
2020,11,11/2020,104
2020,12,12/2020,9
