year,month,date,count_obs,count_obscured
2020,1,1/2020,26,0
2020,2,2/2020,49,0
2020,3,3/2020,274,0
2020,4,4/2020,351,1
2020,5,5/2020,368,0
2020,6,6/2020,86,0
2020,7,7/2020,394,50
2020,8,8/2020,280,185
2020,9,9/2020,828,118
2020,10,10/2020,238,51
2020,11,11/2020,121,2
2020,12,12/2020,8,0
