date,centergeojson,n_geoms,std_dist_km
2020-01-01,"{""type"":""Point"",""coordinates"":[-94.311653682,29.556384495]}",14,6.6365017530135155
2020-01-02,"{""type"":""Point"",""coordinates"":[-94.147445679,30.007671356]}",1,
2020-01-03,"{""type"":""Point"",""coordinates"":[-95.259869893,31.151751836]}",3,7.257615333789015
2020-01-14,"{""type"":""Point"",""coordinates"":[-96.615924835,33.157977104]}",4,0.3189760506135013
2020-01-18,"{""type"":""Point"",""coordinates"":[-96.711344401,33.064248403]}",3,2.0656842316820874
2020-01-31,"{""type"":""Point"",""coordinates"":[-112.068061829,33.355262756]}",1,
2020-02-15,"{""type"":""Point"",""coordinates"":[-96.672953288,33.059402466]}",3,0.385071926932429
2020-02-17,"{""type"":""Point"",""coordinates"":[-96.785827637,33.079769135]}",1,
2020-02-19,"{""type"":""Point"",""coordinates"":[-96.989967346,33.061626434]}",1,
2020-02-22,"{""type"":""Point"",""coordinates"":[-96.665756226,33.035867691]}",2,6.884745175366225e-07
2020-02-25,"{""type"":""Point"",""coordinates"":[-96.616280874,33.160241445]}",6,0.0029820150195078495
2020-02-27,"{""type"":""Point"",""coordinates"":[-96.235862732,33.306304296]}",6,0.7493239581562678
2020-02-28,"{""type"":""Point"",""coordinates"":[-97.000537109,33.350811768]}",5,12.120408585565318
2020-02-29,"{""type"":""Point"",""coordinates"":[-97.050081787,33.412523193]}",25,1.5378678505373578
2020-03-01,"{""type"":""Point"",""coordinates"":[-97.049790955,33.415593719]}",10,0.07435933893782055
2020-03-03,"{""type"":""Point"",""coordinates"":[-96.615867615,33.160259247]}",1,
2020-03-05,"{""type"":""Point"",""coordinates"":[-96.962226868,33.060037674]}",31,1.2263920206312247
2020-03-06,"{""type"":""Point"",""coordinates"":[-96.786102295,33.079849243]}",1,
2020-03-07,"{""type"":""Point"",""coordinates"":[-96.785934448,33.079769135]}",1,
2020-03-08,"{""type"":""Point"",""coordinates"":[-96.785995483,33.080013275]}",1,
2020-03-09,"{""type"":""Point"",""coordinates"":[-96.671415441,33.054612552]}",34,0.42171132141464585
2020-03-11,"{""type"":""Point"",""coordinates"":[-96.989349365,33.062587738]}",2,8.785801756167737e-08
2020-03-12,"{""type"":""Point"",""coordinates"":[-96.489256965,33.357916726]}",18,9.187580954650972
2020-03-13,"{""type"":""Point"",""coordinates"":[-96.469782511,33.378616333]}",3,0.3599786796161976
2020-03-14,"{""type"":""Point"",""coordinates"":[-96.70316925,33.087049103]}",5,0.036587200652538135
2020-03-16,"{""type"":""Point"",""coordinates"":[-96.840735881,33.052115377]}",15,1.7775599210578208
2020-03-18,"{""type"":""Point"",""coordinates"":[-96.796561804,33.0849805]}",39,1.0351639180250507
2020-03-19,"{""type"":""Point"",""coordinates"":[-96.785842896,33.079925537]}",1,
2020-03-20,"{""type"":""Point"",""coordinates"":[-96.799168235,33.075996198]}",57,0.22852167605386856
2020-03-24,"{""type"":""Point"",""coordinates"":[-96.785800934,33.07989502]}",2,1.3010764770124369e-09
2020-03-25,"{""type"":""Point"",""coordinates"":[-96.985374451,33.155960083]}",2,0.010359192642316195
2020-03-26,"{""type"":""Point"",""coordinates"":[-96.785859789,33.079954692]}",14,0.0031706458519080204
2020-03-28,"{""type"":""Point"",""coordinates"":[-96.785919189,33.079900742]}",4,0.0035662374848720035
2020-03-29,"{""type"":""Point"",""coordinates"":[-96.303091801,33.275735797]}",33,1.9396401068690439
2020-04-01,"{""type"":""Point"",""coordinates"":[-96.785873413,33.079933167]}",1,
2020-04-05,"{""type"":""Point"",""coordinates"":[-96.785850525,33.079959869]}",1,
2020-04-07,"{""type"":""Point"",""coordinates"":[-96.785850525,33.079959869]}",1,
2020-04-08,"{""type"":""Point"",""coordinates"":[-96.791822954,33.081256404]}",33,0.13246654798278043
2020-04-09,"{""type"":""Point"",""coordinates"":[-96.785919189,33.079917908]}",1,
