name,value
Plantae,2110
Insecta,855
Aves,284
Fungi,53
Mammalia,28
Arachnida,26
Mollusca,22
Reptilia,19
Animalia,16
Actinopterygii,6
Bacteria,3
Amphibia,3
Protozoa,2
