name,value
Urban and built-up lands,1426
Grasslands,1379
Croplands,218
Permanent wetlands,129
Woody Savannas,86
Savannas,63
Mixed forests,48
Open shrublands,44
Water bodies,17
Barren,12
Permanent snow and ice,3
Deciduous broadleaf forests,2
Cropland/Natural vegetation mosaics,1
