date,centergeojson,n_geoms,std_dist_km
2019-03-17,"{""type"":""Point"",""coordinates"":[-97.600730896,31.666139603]}",1,
2019-03-23,"{""type"":""Point"",""coordinates"":[-97.600379944,31.66264534]}",1,
2019-04-17,"{""type"":""Point"",""coordinates"":[-97.449142456,31.534109116]}",1,
2019-05-08,"{""type"":""Point"",""coordinates"":[-97.465583801,31.637639999]}",1,
2019-05-12,"{""type"":""Point"",""coordinates"":[-97.585636139,31.664654732]}",2,2.680960005445285e-06
2019-06-17,"{""type"":""Point"",""coordinates"":[-97.449337006,31.534193039]}",2,1.9304015115839444e-09
2019-10-16,"{""type"":""Point"",""coordinates"":[-97.398633233,31.573517372]}",29,6.576703357959284
2019-10-17,"{""type"":""Point"",""coordinates"":[-97.356575012,31.554838181]}",2,6.054248262034958e-08
2019-10-18,"{""type"":""Point"",""coordinates"":[-97.356208801,31.554791133]}",3,0.014317154902744838
2019-10-19,"{""type"":""Point"",""coordinates"":[-97.356379191,31.55483373]}",3,0.005397908557706454
2019-10-20,"{""type"":""Point"",""coordinates"":[-97.356651306,31.554767609]}",1,
2019-11-03,"{""type"":""Point"",""coordinates"":[-97.421302795,30.588046074]}",4,0.1391598922807995
