sciname,comname,category,value
Quercus buckleyi,Buckley's oak,Plantae,2
Ardea herodias,Great Blue Heron,Aves,1
Buteo jamaicensis,Red-tailed Hawk,Aves,1
Cardinalis cardinalis,Northern Cardinal,Aves,1
Carya illinoinensis,pecan,Plantae,1
Celtis laevigata,sugar hackberry,Plantae,1
Centruroides vittatus,Striped Bark Scorpion,Arachnida,1
Cercis canadensis,eastern redbud,Plantae,1
Cervus elaphus,Red Deer,Mammalia,1
Danaus plexippus,Monarch,Insecta,1
Erigeron strigosus,daisy fleabane,Plantae,1
Fraxinus albicans,Texas ash,Plantae,1
Hedera helix,common ivy,Plantae,1
Hypoprepia miniata,Scarlet-winged Lichen Moth,Insecta,1
Ipomoea cordatotriloba,Tievine,Plantae,1
Juglans major,Arizona black walnut,Plantae,1
Juniperus ashei,Ashe juniper,Plantae,1
Juniperus chinensis,Chinese juniper,Plantae,1
Koelreuteria paniculata,goldenrain tree,Plantae,1
Leucophyllum frutescens,cenizo,Plantae,1
Lithobates berlandieri,Rio Grande Leopard Frog,Amphibia,1
Lupinus texensis,Texas bluebonnet,Plantae,1
Melanoplus ponderosus,Ponderous Spur-throat Grasshopper,Insecta,1
Micropterus salmoides,Largemouth Bass,Actinopterygii,1
Nekemias arborea,pepper vine,Plantae,1
Neoscona domiciliorum,Red-femured Spotted Orbweaver,Arachnida,1
Nuphar advena,spatterdock,Plantae,1
Opuntia,Prickly pears,Plantae,1
Phidippus carolinensis,Carolina Jumping Spider,Arachnida,1
Phoradendron leucarpum,oak mistletoe,Plantae,1
Platanus occidentalis,American sycamore,Plantae,1
Prunus mexicana,Mexican Plum,Plantae,1
Prunus persica,Peach,Plantae,1
Quercus shumardii,Shumard's oak,Plantae,1
Rosa rugosa,rugosa rose,Plantae,1
Rubus trivialis,southern dewberry,Plantae,1
Sabina,scale-leaf junipers,Plantae,1
Salvia rosmarinus,Rosemary,Plantae,1
Sapindus drummondii,Western Soapberry,Plantae,1
Smilax bona-nox,saw greenbrier,Plantae,1
Symphyotrichum divaricatum,Yard Aster,Plantae,1
Taxodium distichum,baldcypress,Plantae,1
Toxicodendron radicans,poison ivy,Plantae,1
Ulmus crassifolia,Cedar Elm,Plantae,1
Vanessa atalanta,Red Admiral,Insecta,1
Vitis berlandieri,Spanish grape,Plantae,1
Vitis cinerea,summer grape,Plantae,1
Agave americana,American century plant,Plantae,1
Warnockia scutellarioides,Prairie brazoria,Plantae,1
