year,month,date,centergeojson,n_geoms,std_dist_km
2019,3,3/2019,"{""type"":""Point"",""coordinates"":[-97.60055542,31.664392471]}",2,1.8809040348151647e-08
2019,4,4/2019,"{""type"":""Point"",""coordinates"":[-97.449142456,31.534109116]}",1,
2019,5,5/2019,"{""type"":""Point"",""coordinates"":[-97.545618693,31.655649821]}",3,2.658829676258468
2019,6,6/2019,"{""type"":""Point"",""coordinates"":[-97.449337006,31.534193039]}",2,1.9304015115839444e-09
2019,10,10/2019,"{""type"":""Point"",""coordinates"":[-97.388629713,31.56908743]}",38,6.591876793214686
2019,11,11/2019,"{""type"":""Point"",""coordinates"":[-97.421302795,30.588046074]}",4,0.13915989228079947
