year,month,date,centergeojson,n_geoms,std_dist_km
2020,1,1/2020,"{""type"":""Point"",""coordinates"":[-110.699597285,32.339732537]}",26,1.0200739571606778
2020,2,2/2020,"{""type"":""Point"",""coordinates"":[-110.712539673,32.409797668]}",6,0
2020,3,3/2020,"{""type"":""Point"",""coordinates"":[-110.909240723,32.261405945]}",2,2.1234416632447682e-08
2020,7,7/2020,"{""type"":""Point"",""coordinates"":[-110.910097395,32.29082925]}",7,2.3151101746481877
2020,9,9/2020,"{""type"":""Point"",""coordinates"":[-110.952583313,32.234050751]}",1,
2020,10,10/2020,"{""type"":""Point"",""coordinates"":[-110.90322658,32.288497925]}",7,3.26746195468571
2020,12,12/2020,"{""type"":""Point"",""coordinates"":[-110.888809204,32.329483032]}",1,
