date,count_ids
2020-01-04,1
2020-01-16,2
2020-01-17,6
2020-01-20,2
2020-01-22,9
2020-01-24,1
2020-01-27,1
2020-01-29,4
2020-01-30,2
2020-01-31,11
2020-02-01,1
2020-02-02,3
2020-02-03,16
2020-02-04,11
2020-02-05,8
2020-02-06,9
2020-02-07,7
2020-02-08,6
2020-02-09,12
2020-02-10,1
2020-02-11,9
2020-02-12,6
2020-02-13,6
2020-02-14,2
2020-02-15,1
2020-02-16,6
2020-02-18,3
2020-02-19,4
2020-02-20,9
2020-02-21,3
2020-02-22,1
2020-02-25,6
2020-02-26,1
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,1
2020-03-06,1
2020-03-08,4
2020-03-09,1
2020-03-10,1
2020-03-12,2
2020-03-14,3
2020-03-17,1
2020-03-18,1
2020-03-25,1
2020-03-26,1
2020-04-03,54
2020-04-04,5
2020-04-05,8
2020-04-08,25
2020-04-12,2
2020-04-18,1
2020-04-19,2
2020-05-15,1
2020-05-17,9
2020-05-18,2
2020-05-24,3
2020-05-28,1
2020-06-05,9
2020-06-12,3
2020-06-13,4
2020-06-15,5
2020-06-16,3
2020-06-26,6
2020-06-27,6
2020-06-28,1
2020-06-29,6
2020-06-30,21
2020-07-01,4
2020-07-02,16
2020-07-03,18
2020-07-04,1
2020-07-06,31
2020-07-07,17
2020-07-08,7
2020-07-09,1
2020-07-10,3
2020-07-11,2
2020-07-12,2
2020-07-13,7
2020-07-14,5
2020-07-15,3
2020-07-16,4
2020-07-17,7
2020-07-18,4
2020-07-20,1
2020-07-21,6
2020-07-22,4
2020-07-23,9
2020-07-24,1
2020-07-25,2
2020-07-26,1
2020-07-27,15
2020-08-16,2
2020-08-19,5
2020-09-02,7
2020-09-03,3
2020-09-06,1
2020-09-07,1
2020-09-24,1
2020-10-11,1
2020-10-12,2
2020-10-31,1
2020-11-19,4
2020-11-26,11
2020-11-29,1
