year,month,date,count_obs,count_obscured
2020,1,1/2020,26,0
2020,2,2/2020,6,0
2020,3,3/2020,2,0
2020,7,7/2020,0,7
2020,9,9/2020,0,1
2020,10,10/2020,5,2
2020,12,12/2020,0,1
