year,month,date,count_ids
2020,1,1/2020,39
2020,2,2/2020,131
2020,3,3/2020,20
2020,4,4/2020,97
2020,5,5/2020,16
2020,6,6/2020,64
2020,7,7/2020,171
2020,8,8/2020,7
2020,9,9/2020,13
2020,10,10/2020,4
2020,11,11/2020,16
