date,centergeojson,n_geoms,std_dist_km
2020-01-15,"{""type"":""Point"",""coordinates"":[-110.700561523,32.326244354]}",7,0
2020-01-20,"{""type"":""Point"",""coordinates"":[-110.698543549,32.329453468]}",12,0.6176518856707262
2020-01-27,"{""type"":""Point"",""coordinates"":[-110.700439453,32.37084198]}",7,0
2020-02-18,"{""type"":""Point"",""coordinates"":[-110.712539673,32.409797668]}",6,0
2020-03-07,"{""type"":""Point"",""coordinates"":[-110.908729553,32.261348724]}",1,
2020-03-08,"{""type"":""Point"",""coordinates"":[-110.909751892,32.261463165]}",1,
2020-07-13,"{""type"":""Point"",""coordinates"":[-110.936523438,32.267501831]}",1,
2020-07-19,"{""type"":""Point"",""coordinates"":[-110.97479248,32.30865097]}",1,
2020-07-25,"{""type"":""Point"",""coordinates"":[-110.867904663,32.325845718]}",2,0.00031513578419615346
2020-07-31,"{""type"":""Point"",""coordinates"":[-110.907852173,32.26932017]}",3,2.8882534120229644
2020-09-22,"{""type"":""Point"",""coordinates"":[-110.952583313,32.234050751]}",1,
2020-10-14,"{""type"":""Point"",""coordinates"":[-110.905082703,32.273788452]}",5,0
2020-10-22,"{""type"":""Point"",""coordinates"":[-110.914390564,32.381641388]}",1,
2020-10-23,"{""type"":""Point"",""coordinates"":[-110.882781982,32.268901825]}",1,
2020-12-22,"{""type"":""Point"",""coordinates"":[-110.888809204,32.329483032]}",1,
