n_observations,n_month_active,std_dist_km,n_kingdoms,n_landcovers,n_interacted_users,cluster,userid,distance_std
41,5,44.742947,2,3,0,1,2153994,1.87922
3532,12,1484.7284,13,12,344,4,612949,16.807
4749,12,264.67004,11,10,181,4,388712,20.5698
50,7,3.5771549,6,3,244,2,275891,8.77566
5994,12,30.326885,13,10,348,4,1409524,15.0659
11,2,19.807348,4,3,0,1,3437302,1.5691
36,8,90.4887,6,5,0,2,2862910,0.905924
1277,12,9.190061,13,7,40,2,818374,7.06301
6,3,6393.8975,4,4,0,3,1757018,12.8618
30905,12,502.60266,15,10,936,4,50920,117.069
360,12,4616.2236,10,12,9,3,1998256,9.13103
2461,12,80.7502,13,10,640,4,1,12.9266
3408,12,105.70082,14,9,865,4,1161364,9.12496
6,4,2431.099,3,3,0,3,2461871,1.54055
6,1,0.019484892,4,1,0,1,3304578,1.22105
5,3,12.019717,3,4,0,1,5165555,1.84382
568,12,289.6736,10,9,0,2,1882892,4.59236
3967,12,154.32333,13,9,710,4,469469,5.74493
16,7,2054.2878,5,4,0,3,2075492,1.3973
292,12,2394.2432,11,10,0,3,1188166,5.14863
1,1,0,1,1,0,1,2891550,0.355076
24710,12,6.9752645,13,6,116,4,1899313,91.6719
2,2,4.87437e-07,1,1,0,1,1648527,0.316827
22,2,746.3556,3,3,0,1,2583284,2.64026
2021,11,12.761164,12,7,3494,4,2866061,99.794
3430,12,165.83751,13,13,281,4,426782,18.7585
4,2,4897.942,3,0,0,3,5813980,8.67316
3726,12,78.7693,7,6,579,4,988575,9.34534
127,9,341.4962,7,4,0,2,2229308,1.5235
2,2,0,1,1,0,1,2633778,0.316827
16,6,7.816248,6,5,1,2,3223238,0.680735
4,4,5828.8403,3,4,0,3,4477465,11.0643
1015,12,405.74664,9,8,62,2,1080973,5.89075
9,3,2402.6777,4,4,0,3,392396,1.30368
70,8,10.431185,2,5,0,2,1971839,2.01671
8,2,0.009329919,1,1,0,1,2157091,0.316699
2,1,0.00054195593,1,2,0,1,2098165,0.557142
200,9,21.081703,12,8,0,2,1213988,3.71289
150,6,1391.6207,7,4,0,3,1481935,3.35264
269,12,108.61365,12,5,628,4,264427,22.7377
146,5,1909.507,9,3,1,3,3647285,2.698
1,1,0,1,1,0,1,3156104,0.355076
22,5,7.1669664,6,4,0,2,3653897,0.917447
18,7,1988.5804,3,4,0,3,1591850,1.75323
55,7,506.7359,8,10,0,2,2795571,3.40081
35,9,1053.6503,4,3,0,2,732728,3.37338
