sciname,comname,category,value
Hypericum,St. John's worts,Plantae,2
Lamiaceae,mint family,Plantae,2
Thymus,thyme,Plantae,2
Carduinae,Thistles and Burdocks,Plantae,1
Centaurea macrocephala,Giant Knapweed,Plantae,1
Coprinopsis picacea,Magpie Inkcap,Fungi,1
Geranium,geraniums and cranesbills,Plantae,1
Helianthemum nummularium,Common Rock-rose,Plantae,1
Hericium coralloides,Coral tooth fungus,Fungi,1
Lepista nuda,Blewit,Fungi,1
Linum,Flaxes,Plantae,1
Magnoliopsida,dicots,Plantae,1
Mesembryanthemum nodiflorum,Slender Iceplant,Plantae,1
Morchella,Esculenta Clade,Fungi,1
Morchella semilibera,Semifree Morel,Fungi,1
Mycena,Bonnets,Fungi,1
Papaver,poppies,Plantae,1
Pleurotus,Oyster Mushrooms,Fungi,1
Reduviidae,Assassin Bugs,Insecta,1
Sceloporus occidentalis longipes,Great Basin Fence Lizard,Reptilia,1
Sedum,stonecrops,Plantae,1
Verpa conica,conic morel,Fungi,1
Viburnum lantana,Wayfaring-tree,Plantae,1
Apiaceae,carrot family,Plantae,1
Xerocomellus chrysenteron,Red-cracking Bolete,Fungi,1
Auricularia,Wood ear fungi,Fungi,1
Campanula latifolia,Giant Bellflower,Plantae,1
