date,centergeojson,n_geoms,std_dist_km
2019-01-23,"{""type"":""Point"",""coordinates"":[44.72395579,41.687123617]}",3,0.0023996354789297568
2019-05-06,"{""type"":""Point"",""coordinates"":[44.724094391,41.686775208]}",1,
2019-05-07,"{""type"":""Point"",""coordinates"":[44.720012665,41.687481165]}",16,0.11832522561691564
2019-05-08,"{""type"":""Point"",""coordinates"":[44.72379303,41.686962128]}",1,
2019-07-13,"{""type"":""Point"",""coordinates"":[42.839603969,41.82339641]}",7,0.22631994382700793
2019-08-08,"{""type"":""Point"",""coordinates"":[42.014232635,41.873558044]}",1,
2019-08-24,"{""type"":""Point"",""coordinates"":[-117.27016449,32.849807739]}",1,
2019-08-29,"{""type"":""Point"",""coordinates"":[-117.241165161,32.6705513]}",1,
2019-09-09,"{""type"":""Point"",""coordinates"":[45.501186371,41.922615051]}",1,
2019-09-13,"{""type"":""Point"",""coordinates"":[44.765319824,41.872582245]}",5,0.26305594294809076
2019-09-15,"{""type"":""Point"",""coordinates"":[44.765203476,41.873120308]}",4,0.08346585186551865
