recorder,recorderid,recorderlogin,identifier,ids,records,identifierid,identifierlogin,totalids
pisum,{779571},{pisum},roomthily,9,1227,{442615},{roomthily},11733
sidesplotch,{76184},{sidesplotch},Nathan,9,237,,,1623
toucan_sam,{262898},{toucan_sam},napoleon1799,9,353,{762836},{napoleon1799},2226
Gennadiy Okatov,{2183479},{gen_ok},Jurga Motiejūnaitė,9,327,{1369015},{jurga_li},8420
jakelly,{246712},{jakelly},Dwayne Estes,9,285,{109199},{destes},3348
Milo Pyne,{13518},{milopyne},Dwayne Estes,9,785,{109199},{destes},3348
pblancor,{1655268},{pblancor},mcaple,9,26,{558416},{mcaple},4708
Lauren Flesher,{285998},{superduperwren},Eric M Powell,9,124,{64568},{ericpo1},5540
Brett Hillman,{2493318},{bhillman},dodomae98,9,363,{268311},{dodomae98},304
QuestaGame,{196849},{questagame},Alex Harman,9,21546,{579740},{alex_cicindela_guy},3182
Matt Gruen,{252388},{mgruen},Nathan,9,3991,,,1623
Krissa Klein,{17695},{graysquirrel},roomthily,9,3303,{442615},{roomthily},11733
Jesse Rorabaugh,{52839},{glmory},roomthily,9,2365,{442615},{roomthily},11733
tx_nature_girl,{167406},{tx_nature_girl},pisum,9,233,{779571},{pisum},1154
FRANCISCO MIGUEL FARRIOLS ESTRADA,{42186},{pacof},roomthily,9,1985,{442615},{roomthily},11733
carriemcd,{1991022},{carriemcd},Don Sutherland,9,409,{437461},{donaldasutherland},3985
Rob Foster,,,Sean Blaney,9,4091,{191483},{seanblaney},2421
Richard Stovall,{967448},{arctic_mongoose},Ryan Cooke,9,1722,{469469},{ryancooke},2156
lumen5,{2421051},{lumen5},Eric M Powell,9,54,{64568},{ericpo1},5540
kstronks,{109446},{kstronks},Don Sutherland,9,278,{437461},{donaldasutherland},3985
Rob Foster,,,Don Sutherland,9,4091,{437461},{donaldasutherland},3985
Dan Horowitz,{46738},{fake_id},Don Rideout,9,1324,{388712},{lagoondon},2333
srmetz,{1560463},{srmetz},Gray Catanzaro,9,42,,,7198
Connor Ross,{1853317},{redadmiral98},mcaple,9,617,{558416},{mcaple},4708
Kritsada Moomuang,,,CheongWeei Gan,9,249,{44170},{gancw1},3055
Francisco Farriols Sarabia,,,leonardoac,9,5415,{417902},{leonardoac},364
Pam Kleinsasser,{588090},{oysterhead},Eric M Powell,9,78,{64568},{ericpo1},5540
clem,{174643},{clem},catchang,9,411,{179103},{catchang},6583
rmyoshihara,{1658107},{rmyoshihara},Jim Johnson,9,2288,{24521},{jimjohnson},2771
Thomas Koffel,{320666},{tkoffel},Lupoli Roland,9,3652,{1530852},{lupoli_roland},5207
Eridan Xharahi,{363007},{eridanxharahi},Lupoli Roland,9,827,{1530852},{lupoli_roland},5207
James Bailey,{6971},{silversea_starsong},Jim Johnson,9,10404,{24521},{jimjohnson},2771
Robby Deans,{18780},{hydaticus},Matthew Moskwik,9,5132,{44308},{mpmoskwik},394
Marina Nikonorova,{1092367},{marnika},Lupoli Roland,9,1138,{1530852},{lupoli_roland},5207
Arnold Wijker,{157093},{arnoldwijker},Lupoli Roland,9,1087,{1530852},{lupoli_roland},5207
Bill Chambers,{740909},{chwillbill68},Joshua Lincoln,9,1946,{20198},{joshualincoln},7925
Jerry Cannon,{313678},{smpvolunteer-jcannon},aaronr,9,1141,{1151838},{aaronr},3233
Robert Webster,{42472},{xpda},Ludo Leclerc,9,5419,{736005},{ludoleclerc},490
Benjamin Schwartz,{22312},{beschwar},alexb0000,9,1786,{741608},{alexb0000},3374
roomthily,{442615},{roomthily},alexb0000,9,4783,{741608},{alexb0000},3374
Daniel Onea,{659740},{dalien},Krissa Klein,9,2369,{17695},{graysquirrel},11732
Scott Loarie,{477},{loarie},Krissa Klein,9,1056,{17695},{graysquirrel},11732
Shane Hanofee,{364529},{sapienshane},Alex Wright,9,1198,{205278},{ajwright},4980
anasacuta,{1676835},{anasacuta},Jurga Motiejūnaitė,9,1004,{1369015},{jurga_li},8420
Joshua Sands,{411512},{jcs13},Arturo Santos,9,989,,,2047
William Wimley,{1000460},{bill_wimley},napoleon1799,9,864,{762836},{napoleon1799},2226
Aaron Lincoln,{112578},{bosqueaaron},Kyhl Austin,9,1777,{302562},{kyhlaustin},3218
"Jill DeVito, PhD",,,Sam Kieschnick,9,276,{22589},{sambiology},15626
terence zahner,{1438340},{zahnerphoto},David Jeffrey Ringer,9,1825,{792319},{djringer},3941
Laura Gaudette,{12049},{gaudettelaura},Alex Harman,9,3927,{579740},{alex_cicindela_guy},3182
LSchare (she/her),{81779},{scubabruin},Daniel S. Cooper,9,2397,{39264},{dcoopercem},731
Shaun M. McCoshum,{105431},{shaunmichael},Alex Harman,9,2955,{579740},{alex_cicindela_guy},3182
Tomasz Kuder,{492308},{strix_v},Alex Harman,9,1764,{579740},{alex_cicindela_guy},3182
Lena Dietz Chiasson,,,Andrew Simon,9,5188,{37277},{chlorophilia},1668
Graham Montgomery,,,Daniel S. Cooper,9,1341,{39264},{dcoopercem},731
Brenna Farrell,{521996},{brennafarrell},Arturo Santos,9,5734,,,2047
Ken-ichi Ueda,{1},{kueda},James Bailey,9,2676,{6971},{silversea_starsong},8732
Andy,,,Joel DuBois,9,1060,{456853},{tuftedparidae},1202
Timothy Reichard,{17932},{treichard},Arturo Santos,9,6276,,,2047
Brenna Farrell,{521996},{brennafarrell},Ryan Cooke,9,5734,{469469},{ryancooke},2156
Jess Miller-Camp,{351631},{jessm-c},mcaple,9,850,{558416},{mcaple},4708
CheongWeei Gan,{44170},{gancw1},Aniruddha Singhamahapatra,9,2050,{951127},{aniruddha_singhamahapatra},3338
logpark,{432612},{logpark},Kyhl Austin,9,769,{302562},{kyhlaustin},3218
Louis Imbeau,{751808},{imbeaul},Wayne Fidler,9,2062,{281081},{wayne_fidler},4663
Shawn Taylor,{385784},{atlnature},Liam Wolff,9,1941,{1548062},{ospr3y},1999
Daniel Onea,{659740},{dalien},Luiz Puodzius,9,2369,{600016},{puodz},557
Janka,{541504},{mumpitzz},Lupoli Roland,9,2776,{1530852},{lupoli_roland},5207
Sara Rall,{35078},{srall},aaronr,9,18482,{1151838},{aaronr},3233
Lorin Timaeus,{477431},{carnifex},Wayne Fidler,9,2309,{281081},{wayne_fidler},4663
QuestaGame,{196849},{questagame},Kritsada Moomuang,9,21546,,,275
Oliver Burrus,{740186},{whimbrelbirder},Paul Marcum,9,1779,{37031},{sedge},3557
Mike Benard,{127104},{mfbenard},hikingohio,9,408,{907706},{hikingohio},242
Micah Freedman,{975206},{micahfreedman},Christopher Jason,9,850,{505328},{cjason},188
Jack Coulter,{1920837},{jackc210},Joshua Lincoln,9,1887,{20198},{joshualincoln},7925
Garth Harwood,{2527},{garth_harwood},Christian Schwarz,9,4571,{5179},{leptonia},2334
Micah Freedman,{975206},{micahfreedman},Krissa Klein,9,850,{17695},{graysquirrel},11732
Melinda Fawver,{1416798},{mfawver},Alan R. Franck,9,1501,{1130299},{afranck},1945
tmandalios,{1438640},{tmandalios},bobbyfingers,9,258,{769610},{bobbyfingers},6331
Donna Pomeroy,{16101},{dpom},Alan R. Franck,9,6569,{1130299},{afranck},1945
celinebrad,{1928823},{celinebrad},bobbyfingers,9,50,{769610},{bobbyfingers},6331
Nathaniel Schwartz,{1079820},{gnat79},Hans Holbrook,9,1454,{687658},{hholbrook},3218
bonnieeamick,{35766},{bonnieeamick},Gray Catanzaro,9,675,,,7198
Jenny Smith,,,John G. Phillips,9,84,{15796},{johngsalamander},4533
Nicholas Sly,{393377},{pagophila},Joshua Lincoln,9,1500,{20198},{joshualincoln},7925
Christopher Sullivan,{1748367},{cwf_christophers},Amanda Bennett,9,247,{358934},{abenne03},338
emjtca,{31582},{emjtca},Krissa Klein,9,307,{17695},{graysquirrel},11732
Ben Machado,{87743},{bennypoo},Joshua Lincoln,9,1220,{20198},{joshualincoln},7925
Ashley Duval,{773740},{aduval22},catchang,9,908,{179103},{catchang},6583
Mette Hesselholt Henne Hansen,{1034790},{mettehhh},Jurga Motiejūnaitė,9,1318,{1369015},{jurga_li},8420
Robert Webster,{42472},{xpda},j_appleget,9,5419,{472267},{j_appleget},3102
Aimee Lusty,{335321},{aimeelusty},Wayne Fidler,9,664,{281081},{wayne_fidler},4663
salamanderdance,{812654},{salamanderdance},Wayne Fidler,9,546,{281081},{wayne_fidler},4663
gernotkunz,{827504},{gernotkunz},Thorsten Usée,9,3846,{740345},{tusee},1029
vagabondreports,{1597686},{vagabondreports},roomthily,9,1511,{442615},{roomthily},11733
paulsullivan25,{1327282},{paulsullivan25},CheongWeei Gan,9,296,{44170},{gancw1},3055
Philip Woods,{143067},{philipwoodscc},Greg Lasley,9,2956,{9706},{greglasley},9578
Nathan,,,dgrimmphd,9,1816,,,256
Arthur Windsor,{1243759},{arthur-windsor},j_appleget,9,590,{472267},{j_appleget},3102
Barry Keith,{757386},{thebark},Greg Lasley,9,1594,{9706},{greglasley},9578
safechrislaurie,{1042916},{safechrislaurie},Van Truan,9,1019,{1099152},{vantruan},1045
Thorsten Usée,{740345},{tusee},John G. Phillips,9,1006,{15796},{johngsalamander},4533
Ken Potter,{284003},{ken-potter},John Plischke,9,4095,{477643},{johnplischke},1236
mulesfan,{1534812},{mulesfan},John G. Phillips,9,25,{15796},{johngsalamander},4533
Argyl Houser,{601946},{argyl},mcaple,9,1480,{558416},{mcaple},4708
mikeakresh,{536220},{mikeakresh},btk,9,807,{1421255},{btk},1527
shan94,{1490530},{shan94},alexb0000,9,99,{741608},{alexb0000},3374
Joseph Connors,{529040},{jciv},Rebecca Ray,9,2394,{306991},{tigerbb},1415
David White,{2407112},{davidgwhite},Reiner Richter,9,172,{222137},{reiner},22231
Melinda Thompson,{999683},{plantgirl1},Brian Popelier,9,1474,{279103},{popb25},2492
lettherebelight,{1272075},{lettherebelight},Sam Kieschnick,9,151,{22589},{sambiology},15626
Todd Fitzgerald,{115786},{oddfitz},Sam Kieschnick,9,3654,{22589},{sambiology},15626
QuestaGame,{196849},{questagame},John Sullivan,9,21546,,,1281
jakeschneider00,{824100},{jakeschneider00},Gray Catanzaro,9,519,,,7198
Sequoia Janirella Wrens,{420537},{astrobirder},Gray Catanzaro,9,16472,,,7198
fossa1211,{1566366},{fossa1211},Anthony Brais,9,1630,{1064292},{syrherp},1241
Robert Webster,{42472},{xpda},Greg Lasley,9,5419,{9706},{greglasley},9578
Eric M Powell,{64568},{ericpo1},Rebecca Ray,9,4946,{306991},{tigerbb},1415
Pete Corradino,{288706},{peteacorr},Dr. Alison Northup,9,898,{438488},{alisonnorthup},4651
Tony Iwane,{28},{tiwane},Joel DuBois,9,3407,{456853},{tuftedparidae},1202
Kate Pfeilschiefter,{313852},{thylacine},Alex Wright,9,368,{205278},{ajwright},4980
Nathan,,,Max Roberts,9,1816,{583493},{tothemax},3806
Robin Gwen Agarwal,{26610},{anudibranchmom},Tom Turner,9,4226,{764494},{tomleeturner},729
QuestaGame,{196849},{questagame},Sean Cozart,9,21546,{29091},{birdwhisperer},5854
Lori Owenby,{263819},{loriannkayaker},Robert Russo,9,2148,{1409076},{lenrely},2227
Daniel Estabrooks,{947744},{daniel_e},Edwin Bridges,9,505,{1389244},{edwinbridges},1871
Matthew Moskwik,{44308},{mpmoskwik},Gray Catanzaro,9,319,,,7198
Ashley Duval,{773740},{aduval22},lonnyholmes,9,908,{53702},{lonnyholmes},3432
Dave,,,Fred Melgert / Carla Hoegen,9,1078,{750774},{efmer},12294
Madison Gover,{749118},{madisong},Joseph Salmieri Jr.,9,1800,{1054256},{josephthebirder},6438
Nancy Fox,{402494},{nancyfox},Robin Gwen Agarwal,9,777,{26610},{anudibranchmom},3593
timlbecker,{1647197},{timlbecker},Ken Kneidel,9,423,{553435},{kenkneidel},1278
Brenna Farrell,{521996},{brennafarrell},Tom Palmer,9,5734,{371538},{tpalmer},3377
Steve King,{1955181},{steve432king},Ray Simpson,9,1788,{274968},{rayray},2501
Francisco Farriols Sarabia,,,Diego Barrales,9,5415,{26158},{d_b},1843
Charles and Kathy Appell,{1478338},{charleshappell},Alex Harman,9,1716,{579740},{alex_cicindela_guy},3182
johncarlson,{179022},{johncarlson},Sandy Wolkenberg,9,482,{572980},{sadawolk},7433
Joshua Sands,{411512},{jcs13},Greg Lasley,9,989,{9706},{greglasley},9578
Corey Lange,{55236},{coreyjlange},Paul Marcum,9,2103,{37031},{sedge},3557
Sarah Bonnett,{104942},{sarahb},edporopat,9,641,{529327},{edporopat},1338
nsferguson,{999680},{nsferguson},Reuven Martin,8,2620,{42004},{reuvenm},5269
John C.,{1448882},{casseljs},aalilith,8,4292,{415184},{aalilith},782
asgreen,{560446},{asgreen},bobbyfingers,8,582,{769610},{bobbyfingers},6331
Rebecca W,{204856},{rcw177},bobbyfingers,8,368,{769610},{bobbyfingers},6331
N. Mahathi,{1250948},{mahathi},Rejoice Gassah,8,460,{506512},{rejoicegassah},2331
Missy McAllister Kerr,{111241},{lovebirder},Andrew Meeds,8,3145,{917390},{ameeds},2448
Jeffrey G. Cramer,{310668},{jeffcramer},Sarah Bonnett,8,739,{104942},{sarahb},666
gernotkunz,{827504},{gernotkunz},pmk00001,8,3846,{204678},{pmk00001},1959
Aaron Lincoln,{112578},{bosqueaaron},Missy McAllister Kerr,8,1777,{111241},{lovebirder},2798
sharonious,{1335909},{sharonious},j_appleget,8,221,{472267},{j_appleget},3102
Nicholas Sly,{393377},{pagophila},Wayne Fidler,8,1500,{281081},{wayne_fidler},4663
Raul Agrait,{71497},{raulagrait},Greg Schrott,8,76,{626605},{dr_greg},721
Paul Marcum,{37031},{sedge},Jared Gorrell,8,2929,{395895},{wildlandblogger},12790
vagabondreports,{1597686},{vagabondreports},Krissa Klein,8,1511,{17695},{graysquirrel},11732
kgerner,{1502573},{kgerner},Sean Cozart,8,4243,{29091},{birdwhisperer},5854
QuestaGame,{196849},{questagame},Siddarth Machado,8,21546,{1291794},{siddarthmachado},1326
johncarlson,{179022},{johncarlson},Joshua Lincoln,8,482,{20198},{joshualincoln},7925
Janka,{541504},{mumpitzz},mnauky,8,2776,{1638987},{mnauky},4829
catchang,{179103},{catchang},Alexander Moerman,8,4465,{782779},{wakko207},386
jo_dizzle16,{1429064},{jo_dizzle16},Grover J. Brown,8,52,{385210},{groverbrown},581
lightpoint,{1882999},{lightpoint},Adam Kranz,8,18,{1673632},{megachile},3119
Justin,,,Sam Kieschnick,8,1445,{22589},{sambiology},15626
QuestaGame,{196849},{questagame},aaronr,8,21546,{1151838},{aaronr},3233
Timothy Reichard,{17932},{treichard},Alex Harman,8,6276,{579740},{alex_cicindela_guy},3182
Denny Reiser,{320520},{reiser},Joshua Lincoln,8,360,{20198},{joshualincoln},7925
jaliya,{110360},{jaliya},Andalyne Tofflemire,8,2985,,,272
Krissa Klein,{17695},{graysquirrel},Jim Johnson,8,3303,{24521},{jimjohnson},2771
Peter Jessen,{1153865},{echocreek},dean_leavitt,8,2720,{25718},{dean_leavitt},473
fossa1211,{1566366},{fossa1211},Gray Catanzaro,8,1630,,,7198
jrcagle,{1588724},{jrcagle},aaronr,8,2188,{1151838},{aaronr},3233
Lena Struwe,{44100},{vilseskog},Jurga Motiejūnaitė,8,759,{1369015},{jurga_li},8420
Zach Lim,{763506},{zacharge},Gray Catanzaro,8,217,,,7198
Lauren Glevanik,{1653276},{lglevanik},Sean Cozart,8,3999,{29091},{birdwhisperer},5854
ecoexplore_wnc,{188484},{ecoexplore_wnc},roomthily,8,927,{442615},{roomthily},11733
Brent Franklin,{25863},{brentano},Annika Lindqvist,8,3338,{24973},{annikaml},5654
BenJee,{1462270},{also_sprach_susscrofa},bobbyfingers,8,211,{769610},{bobbyfingers},6331
Lauren Glevanik,{1653276},{lglevanik},motmot,8,3999,{35076},{motmot},1624
Erika Mitchell,{12158},{erikamitchell},Oliver Burrus,8,11788,{740186},{whimbrelbirder},1293
Michele Jones,{1120841},{beetle_mch},Krissa Klein,8,2235,{17695},{graysquirrel},11732
Francisco Farriols Sarabia,,,Even Dankowicz,8,5415,{165078},{edanko},5571
Emily Hjalmarson,{375183},{ehjalmarson},Kyhl Austin,8,3685,{302562},{kyhlaustin},3218
Emily Hjalmarson,{375183},{ehjalmarson},Even Dankowicz,8,3685,{165078},{edanko},5571
hikingsandiego,{228955},{hikingsandiego},Jay S,8,7708,{614583},{jsulzmann},3067
Serge M. Appolonov,{1363782},{velibortravoved},Jurga Motiejūnaitė,8,10945,{1369015},{jurga_li},8420
Colton Johnstone,{482629},{rsety},Jeremy Hussell,8,888,{367383},{jeremyhussell},2635
pisum,{779571},{pisum},Andy Newman,8,1227,{56498},{anewman},1554
Alisa DeMatteo,{692733},{alisadematteo},aaronr,8,2613,{1151838},{aaronr},3233
Keely Dunham,{282998},{dunhamkc},Alan R. Franck,8,271,{1130299},{afranck},1945
jbp316,{1636387},{jbp316},Laurens R Halsey,8,884,{481399},{desertharrier},731
jsatler,{313750},{jsatler},Jared Gorrell,8,518,{395895},{wildlandblogger},12790
Brittany,,,Brian Popelier,8,427,{279103},{popb25},2492
Owen Temple,{1476730},{owentemple},roomthily,8,1029,{442615},{roomthily},11733
efranco22,{1637226},{efranco22},John G. Phillips,8,41,{15796},{johngsalamander},4533
Sporange,{458034},{sporange},Gray Catanzaro,8,294,,,7198
Chris,,,Alex Abair,8,1728,{434305},{alex_abair},1956
rachelf,{98129},{rachelf},Daniel Levitis,8,244,{756324},{dlevitis},1163
Tony Iwane,{28},{tiwane},Even Dankowicz,8,3407,{165078},{edanko},5571
crazybirdy,{1093685},{crazybirdy},Brian Popelier,8,1588,{279103},{popb25},2492
stevennoyes,{417190},{stevennoyes},Greg Lasley,8,318,{9706},{greglasley},9578
vagabondreports,{1597686},{vagabondreports},John G. Phillips,8,1511,{15796},{johngsalamander},4533
Argyl Houser,{601946},{argyl},David Vander Pluym,8,1480,{322026},{micrathene},1587
Sandy Wolkenberg,{572980},{sadawolk},Matthew Welc,8,6371,{738432},{mattwelc},640
Daniel Onea,{659740},{dalien},Even Dankowicz,8,2369,{165078},{edanko},5571
Luke Armstrong,{242722},{lukearmstrong},jtuttle,8,3821,{105391},{jtuttle},2152
Oliver Burrus,{740186},{whimbrelbirder},Joshua Lincoln,8,1779,{20198},{joshualincoln},7925
Lena Dietz Chiasson,,,roomthily,8,5188,{442615},{roomthily},11733
Ken Rosenthal,{192858},{krosenthal},Joshua Lincoln,8,3725,{20198},{joshualincoln},7925
Julie,,,Donna Pomeroy,8,1555,{16101},{dpom},6172
Jurga Motiejūnaitė,{1369015},{jurga_li},Dr. Alison Northup,8,6153,{438488},{alisonnorthup},4651
Madison Gover,{749118},{madisong},Jared Gorrell,8,1800,{395895},{wildlandblogger},12790
grrrace,{1423133},{grrrace},Andrew Simon,8,167,{37277},{chlorophilia},1668
Nate Hartley,{267639},{etantrah},Oscar H. Marín,8,2830,{17643},{gesnerio},761
Annabelle Corboy,{100315},{apcorboy},Sam Kieschnick,8,533,{22589},{sambiology},15626
lowellnoel,{152221},{lowellnoel},Joe MDO,8,210,{349183},{joemdo},5052
Peter Jessen,{1153865},{echocreek},Cin-Ty Lee,8,2720,{553242},{cintylee},2436
Jonathan (JC) Carpenter,{15723},{reallifeecology},Edwin Bridges,8,1892,{1389244},{edwinbridges},1871
zlange123,{1826593},{zlange123},Anthony Brais,8,334,{1064292},{syrherp},1241
Andy Bridges,{52828},{andybridges},Mike Plagens,8,3757,{375489},{mjplagens},2437
Daniel Onea,{659740},{dalien},Kellie Uyeda,8,2369,{1422818},{kuyeda},966
John C.,{1448882},{casseljs},John G. Phillips,8,4292,{15796},{johngsalamander},4533
Ina Siebert,{213733},{inasiebert},karsten_s,8,2614,{1493700},{karsten_s},1812
St. Kevin Catholic School,,,dodomae98,8,42,{268311},{dodomae98},304
Kyhl Austin,{302562},{kyhlaustin},Eric M Powell,8,1438,{64568},{ericpo1},5540
maticus,{307432},{maticus},Rebecca Ray,8,320,{306991},{tigerbb},1415
petekleinhenz,{365249},{petekleinhenz},j_appleget,8,753,{472267},{j_appleget},3102
Vijay Barve,{7943},{vijaybarve},Rejoice Gassah,8,869,{506512},{rejoicegassah},2331
Matt,,,Ginny Moore,8,2262,{147416},{teawren},1162
nsferguson,{999680},{nsferguson},Jeremy Hussell,8,2620,{367383},{jeremyhussell},2635
Brent Franklin,{25863},{brentano},Greg Lasley,8,3338,{9706},{greglasley},9578
pisum,{779571},{pisum},Alex Harman,8,1227,{579740},{alex_cicindela_guy},3182
kathleenfspicer,{761669},{kathleenfspicer},aaronr,8,5157,{1151838},{aaronr},3233
Juan Carlos López Domínguez,{26046},{juancarloslopezdominguez},Francisco Farriols Sarabia,8,2371,,,1682
lkirk,{282626},{lkirk},Kyhl Austin,8,350,{302562},{kyhlaustin},3218
James Bailey,{6971},{silversea_starsong},Dr. Alison Northup,8,10404,{438488},{alisonnorthup},4651
Argyl Houser,{601946},{argyl},John Garrett,8,1480,{356115},{johngarrett},1707
Ron Matts,{1269037},{ronisgenius},Gray Catanzaro,8,83,,,7198
Maya,,,Paweł Pieluszyński,8,2240,{210221},{pawelp},1514
Christopher Sullivan,{1748367},{cwf_christophers},Melinda Thompson,8,247,{999683},{plantgirl1},1830
Peter Jessen,{1153865},{echocreek},roomthily,8,2720,{442615},{roomthily},11733
Kenneth Bader,{9531},{kucycads},Chuck Sexton,8,1578,{27047},{gcwarbler},5744
Karen and Mike,{616107},{mpkw},Greg Lasley,8,2028,{9706},{greglasley},9578
Jeremy Collison,{368287},{crx2aj3},Martin Reith,8,1437,{1401081},{mreith},1292
valt,{147382},{valt},Sam Kieschnick,8,354,{22589},{sambiology},15626
Eric Johnson,,,Daniel S. Cooper,8,699,{39264},{dcoopercem},731
Richard Stovall,{967448},{arctic_mongoose},Even Dankowicz,8,1722,{165078},{edanko},5571
megnd,{461506},{megnd},Paul Marcum,8,1802,{37031},{sedge},3557
Mary Spolyar,{449425},{rednat},pisum,8,633,{779571},{pisum},1154
roomthily,{442615},{roomthily},Cody Porter,8,4783,{312809},{cporter},450
Luke Armstrong,{242722},{lukearmstrong},Joshua Lincoln,8,3821,{20198},{joshualincoln},7925
macharya,{1474027},{macharya},Sam Kieschnick,8,74,{22589},{sambiology},15626
catchang,{179103},{catchang},Paul G. Johnson,8,4465,{21370},{euproserpinus},2246
Sam Kieschnick,{22589},{sambiology},Andy Newman,8,11465,{56498},{anewman},1554
roomthily,{442615},{roomthily},Alex Harman,8,4783,{579740},{alex_cicindela_guy},3182
Matt,,,Joshua Lincoln,8,2262,{20198},{joshualincoln},7925
Aitor,{1034989},{agonzalo},Rebeca Hill,8,2234,{1188943},{rebecath},277
Ian Cruickshank,{408815},{iancruickshank},Alex Wright,8,2394,{205278},{ajwright},4980
Elsa,,,Luis Humberto Vicente Rivera,8,606,{154885},{luishumbertosocton},640
Krissa Klein,{17695},{graysquirrel},Greg Lasley,8,3303,{9706},{greglasley},9578
Leonel Roget,,,Karine Scott,8,2324,{1869496},{k_girl883},803
QuestaGame,{196849},{questagame},Sarah Bonnett,8,21546,{104942},{sarahb},666
Hans Holbrook,{687658},{hholbrook},Alex Harman,8,3333,{579740},{alex_cicindela_guy},3182
Ehoarn Bidault,{2435289},{ehbidault},David Jeffrey Ringer,8,125,{792319},{djringer},3941
Bonnie Kinder,{415953},{bkinder832},Sean Blaney,8,2321,{191483},{seanblaney},2421
Douglas,,,Alex Marabunta,8,1422,{1431742},{alexmarabunta},117
Henry Fabian,{3342},{hfabian},Kathy Claypole Biggs,8,4193,{94051},{kathyclaypolebiggs},1355
Micah Freedman,{975206},{micahfreedman},catchang,8,850,{179103},{catchang},6583
Ryan Cooke,{469469},{ryancooke},Greg Lasley,8,1804,{9706},{greglasley},9578
wwrauscher,{1256300},{wwrauscher},Lindsey Smith,8,382,{149431},{phototime},431
Retired Backyard Birders of Jefferson County Fla,{1836611},{retiredbackyardbirders},Greg Lasley,8,72,{9706},{greglasley},9578
Robert Webster,{42472},{xpda},alexb0000,8,5419,{741608},{alexb0000},3374
Dylan Winkler,{213832},{dylapodiformes},Gray Catanzaro,8,532,,,7198
pmk00001,{204678},{pmk00001},Gray Catanzaro,8,1093,,,7198
Erika Mitchell,{12158},{erikamitchell},mcaple,8,11788,{558416},{mcaple},4708
Luis Correa,{28846},{luiscorrea},Greg Lasley,8,2251,{9706},{greglasley},9578
Jesse Rorabaugh,{52839},{glmory},mcaple,8,2365,{558416},{mcaple},4708
Benjamin Schwartz,{22312},{beschwar},Greg Lasley,8,1786,{9706},{greglasley},9578
Adam Kranz,{1673632},{megachile},mcaple,8,2545,{558416},{mcaple},4708
LSchare (she/her),{81779},{scubabruin},napoleon1799,8,2397,{762836},{napoleon1799},2226
Jonathan Eisen,{99304},{phylogenomics},alexb0000,8,11376,{741608},{alexb0000},3374
LSchare (she/her),{81779},{scubabruin},John Garrett,8,2397,{356115},{johngarrett},1707
Janka,{541504},{mumpitzz},Jon Lehmberg,8,2776,{749212},{jonlehmberg},791
Sandy Wolkenberg,{572980},{sadawolk},Greg Lasley,8,6371,{9706},{greglasley},9578
QuestaGame,{196849},{questagame},Gray Catanzaro,8,21546,,,7198
Rob Foster,,,bobbyfingers,8,4091,{769610},{bobbyfingers},6331
hikingsandiego,{228955},{hikingsandiego},catchang,8,7708,{179103},{catchang},6583
Robin Gwen Agarwal,{26610},{anudibranchmom},Krissa Klein,8,4226,{17695},{graysquirrel},11732
Krissa Klein,{17695},{graysquirrel},Yann Kemper,8,3303,{517807},{kemper},1793
laurabankey,{42746},{laurabankey},Jacob Saucier,8,2530,{744517},{saucierj},931
Pedro Nájera Quezada,{17401},{najera_tutor},troi_olivares,8,6156,{1541579},{troi_olivares},513
Eridan Xharahi,{363007},{eridanxharahi},Andrew Meeds,8,827,{917390},{ameeds},2448
Tony Iwane,{28},{tiwane},Francisco Farriols Sarabia,8,3407,,,1682
Scott Loarie,{477},{loarie},Diana-Terry Hibbitts,8,1056,{9560},{dianaterryhibbitts},1025
megnd,{461506},{megnd},Jay S,8,1802,{614583},{jsulzmann},3067
Chris Harrison,{6690},{sandboa},Gray Catanzaro,8,1312,,,7198
vagabondreports,{1597686},{vagabondreports},Greg Schrott,8,1511,{626605},{dr_greg},721
Fluff Berger,{5813},{fluffberger},John Plischke,8,826,{477643},{johnplischke},1236
Gilles Deacur,{1948179},{gilles48},Eric M Powell,8,373,{64568},{ericpo1},5540
Laura Shappell,{1482669},{ny_wetlander},aaronr,8,1180,{1151838},{aaronr},3233
James Bailey,{6971},{silversea_starsong},dgrimmphd,8,10404,,,256
Judy Gallagher,{1515879},{judygva},j_appleget,8,3424,{472267},{j_appleget},3102
alyssamuench,{1420679},{alyssamuench},Edwin Bridges,8,148,{1389244},{edwinbridges},1871
QuestaGame,{196849},{questagame},Ves,8,21546,{539598},{sylbird},5290
Jonathan (JC) Carpenter,{15723},{reallifeecology},jakelly,8,1892,{246712},{jakelly},313
Kayla,,,John Abrams,8,70,,,1973
Shaun M. McCoshum,{105431},{shaunmichael},Dr. Alison Northup,8,2955,{438488},{alisonnorthup},4651
Cullen Hanks,{2281},{cullen},John G. Phillips,8,810,{15796},{johngsalamander},4533
alondrae4,{1572057},{alondrae4},John G. Phillips,8,27,{15796},{johngsalamander},4533
Jonathan Eisen,{99304},{phylogenomics},Sam,8,11376,,,622
Chris Evers,{61883},{cae1},Jim Johnson,8,2072,{24521},{jimjohnson},2771
Bill Crins,{1106722},{wjcrins},Jeremy Hussell,8,2418,{367383},{jeremyhussell},2635
Jasmine,,,Sam Kieschnick,8,303,{22589},{sambiology},15626
softwaresimian,{2041054},{softwaresimian},Jeremy Hussell,8,575,{367383},{jeremyhussell},2635
C. A. Ivy,{399516},{arbutterflynut},Kory Roberts,8,1990,{22614},{kaptainkory},2581
