date,centergeojson,n_geoms,std_dist_km
2019-01-09,"{""type"":""Point"",""coordinates"":[-80.191841973,27.146036148]}",9,2.909402441600356
2019-01-10,"{""type"":""Point"",""coordinates"":[-80.79426829,27.075285594]}",3,10.79834293131228
2019-01-11,"{""type"":""Point"",""coordinates"":[-80.291175842,27.035341899]}",3,8.52716078080866
2019-02-19,"{""type"":""Point"",""coordinates"":[-74.35874939,40.411136627]}",1,
2019-04-02,"{""type"":""Point"",""coordinates"":[-74.269485474,40.519794464]}",1,
2019-04-06,"{""type"":""Point"",""coordinates"":[-74.35874939,40.411136627]}",1,
2019-04-14,"{""type"":""Point"",""coordinates"":[-74.273605347,40.513792038]}",2,9.5641141902564e-07
2019-04-18,"{""type"":""Point"",""coordinates"":[-74.317550659,40.463899612]}",2,0.0009887435513303215
2019-04-19,"{""type"":""Point"",""coordinates"":[-74.272232056,40.518749237]}",1,
2019-04-21,"{""type"":""Point"",""coordinates"":[-74.268341064,40.518576304]}",3,0.24874687653712843
2019-04-23,"{""type"":""Point"",""coordinates"":[-74.270515442,40.513792038]}",2,5.086855473180948e-07
2019-05-13,"{""type"":""Point"",""coordinates"":[-74.35874939,40.411136627]}",1,
2019-05-16,"{""type"":""Point"",""coordinates"":[-74.365585327,40.367206573]}",1,
2019-05-17,"{""type"":""Point"",""coordinates"":[-74.272232056,40.520839691]}",1,
2019-05-22,"{""type"":""Point"",""coordinates"":[-74.263305664,40.517184258]}",4,0.7416124189108154
2019-05-23,"{""type"":""Point"",""coordinates"":[-74.253921509,40.529712677]}",3,0.575263104544882
2019-05-24,"{""type"":""Point"",""coordinates"":[-74.739506313,40.770172664]}",7,6.454198096123225
2019-05-27,"{""type"":""Point"",""coordinates"":[-74.375335693,39.889957428]}",1,
2019-06-02,"{""type"":""Point"",""coordinates"":[-74.270858765,40.519794464]}",1,
2019-06-05,"{""type"":""Point"",""coordinates"":[-74.26902771,40.518924713]}",3,0.13005025726977848
2019-06-09,"{""type"":""Point"",""coordinates"":[-74.832806905,41.054173787]}",3,3.093392932154413
2019-06-11,"{""type"":""Point"",""coordinates"":[-74.272232056,40.517707825]}",1,
2019-06-14,"{""type"":""Point"",""coordinates"":[-74.274291992,40.513530731]}",2,1.5965198326663213e-06
2019-06-17,"{""type"":""Point"",""coordinates"":[-74.273605347,40.518749237]}",1,
2019-06-19,"{""type"":""Point"",""coordinates"":[-74.397544861,40.325077057]}",2,2.095703279105652e-05
2019-06-29,"{""type"":""Point"",""coordinates"":[-74.272003174,40.517532349]}",3,0.15850932707797397
2019-06-30,"{""type"":""Point"",""coordinates"":[-74.272232056,40.516662598]}",1,
2019-07-01,"{""type"":""Point"",""coordinates"":[-74.207626343,39.981609344]}",1,
2019-07-02,"{""type"":""Point"",""coordinates"":[-74.312207222,39.961130619]}",8,6.374123127817095
2019-07-07,"{""type"":""Point"",""coordinates"":[-74.389494578,40.676019033]}",6,0.43007182133097294
2019-07-11,"{""type"":""Point"",""coordinates"":[-74.268112183,40.518753052]}",1,
2019-07-12,"{""type"":""Point"",""coordinates"":[-74.392229716,40.270376417]}",9,7.114137168920669
2019-07-14,"{""type"":""Point"",""coordinates"":[-74.272232056,40.515617371]}",1,
2019-07-19,"{""type"":""Point"",""coordinates"":[-74.501403809,40.143964767]}",2,0.006278070969070795
2019-07-23,"{""type"":""Point"",""coordinates"":[-74.272232056,40.521881104]}",1,
2019-07-24,"{""type"":""Point"",""coordinates"":[-74.404862213,40.316521072]}",10,6.0761416507010555
2019-07-25,"{""type"":""Point"",""coordinates"":[-74.908737183,39.370330811]}",12,5.974395346880198
2019-07-26,"{""type"":""Point"",""coordinates"":[-74.304847717,40.582271576]}",1,
2019-08-10,"{""type"":""Point"",""coordinates"":[-74.038467407,40.109375]}",1,
2019-08-25,"{""type"":""Point"",""coordinates"":[-74.429515839,40.034225464]}",2,1.2446967318262907e-05
2019-09-10,"{""type"":""Point"",""coordinates"":[-98.764251709,29.782012939]}",2,5.2598491471674335e-06
2019-09-11,"{""type"":""Point"",""coordinates"":[-98.809717451,29.790222713]}",7,4.746198786372012
2019-09-12,"{""type"":""Point"",""coordinates"":[-103.544431051,30.86663119]}",9,135.212881254128
2019-09-13,"{""type"":""Point"",""coordinates"":[-100.892745972,29.590960503]}",2,0.23445171150362512
2019-09-15,"{""type"":""Point"",""coordinates"":[-98.794807434,29.788866043]}",1,
2019-09-22,"{""type"":""Point"",""coordinates"":[-98.819526672,29.765026093]}",1,
2019-09-23,"{""type"":""Point"",""coordinates"":[-99.047523499,28.761900468]}",11,113.32327829441807
2019-09-24,"{""type"":""Point"",""coordinates"":[-98.833572388,29.115142186]}",3,38.96320875478492
2019-10-05,"{""type"":""Point"",""coordinates"":[-74.400424194,40.34874649]}",5,1.0337765847549791
2019-10-15,"{""type"":""Point"",""coordinates"":[-74.265365601,40.521881104]}",1,
