year,month,date,count_ids
2019,1,1/2019,284
2019,2,2/2019,438
2019,3,3/2019,589
2019,4,4/2019,673
2019,5,5/2019,707
2019,6,6/2019,737
2019,7,7/2019,841
2019,8,8/2019,775
2019,9,9/2019,189
2019,10,10/2019,27
2019,11,11/2019,736
2019,12,12/2019,335
