year,month,date,centergeojson,n_geoms,std_dist_km
2019,1,1/2019,"{""type"":""Point"",""coordinates"":[-80.33219401,27.109747187]}",15,18.97866226201871
2019,2,2/2019,"{""type"":""Point"",""coordinates"":[-74.35874939,40.411136627]}",1,
2019,4,4/2019,"{""type"":""Point"",""coordinates"":[-74.285736084,40.499031385]}",12,3.6137579304461167
2019,5,5/2019,"{""type"":""Point"",""coordinates"":[-74.464635213,40.568790224]}",18,23.88366459907243
2019,6,6/2019,"{""type"":""Point"",""coordinates"":[-74.385536194,40.58953072]}",17,20.27862024206414
2019,7,7/2019,"{""type"":""Point"",""coordinates"":[-74.493192673,40.080688256]}",52,27.988601293028527
2019,8,8/2019,"{""type"":""Point"",""coordinates"":[-74.299166361,40.059275309]}",3,8.944249807553783
2019,9,9/2019,"{""type"":""Point"",""coordinates"":[-100.181102965,29.676594734]}",36,110.04473561858659
2019,10,10/2019,"{""type"":""Point"",""coordinates"":[-74.377914429,40.377602259]}",6,6.079086606980006
