sciname,comname,category,value
Thamnophis sirtalis sirtalis,Eastern Garter Snake,Reptilia,11
Storeria dekayi,Dekay's Brownsnake,Reptilia,8
Plethodon cinereus,Eastern Red-backed Salamander,Amphibia,5
Plestiodon fasciatus,Common Five-lined Skink,Reptilia,5
Anaxyrus fowleri,Fowler's Toad,Amphibia,4
Incilius nebulifer,Gulf Coast Toad,Amphibia,4
Coluber constrictor constrictor,Northern Black Racer,Reptilia,4
Lampropeltis triangulum,Eastern Milksnake,Reptilia,4
Limax maximus,Leopard Slug,Mollusca,4
Lithobates berlandieri,Rio Grande Leopard Frog,Amphibia,4
Crotalus atrox,Western Diamond-backed Rattlesnake,Reptilia,4
Anaxyrus punctatus,Red-spotted Toad,Amphibia,3
Eurycea bislineata,Northern Two-lined Salamander,Amphibia,3
Tillandsia fasciculata,cardinal airplant,Plantae,3
Diadophis punctatus,ring-necked snake,Reptilia,3
Lithobates clamitans,Green Frog,Amphibia,3
Diadophis punctatus punctatus,Southern Ringneck Snake,Reptilia,3
Cepaea nemoralis,Brown-lipped Snail,Mollusca,3
Hemidactylus mabouia,Tropical House Gecko,Reptilia,3
Scincella lateralis,Little Brown Skink,Reptilia,3
Neobarrettia spinosa,Greater Arid-land Katydid,Insecta,2
Desmognathus fuscus,Northern Dusky Salamander,Amphibia,2
Pantherophis alleghaniensis,Eastern Ratsnake,Reptilia,2
Pantherophis emoryi,Great Plains Ratsnake,Reptilia,2
Pantherophis obsoletus,Western Ratsnake,Reptilia,2
Pituophis catenifer sayi,Bullsnake,Reptilia,2
Eurycea longicauda,Long-tailed Salamander,Amphibia,2
Chrysemys picta picta,Eastern Painted Turtle,Reptilia,2
Rhinocheilus lecontei,Long-nosed Snake,Reptilia,2
Chrysochus auratus,Dogbane Leaf Beetle,Insecta,2
Scaphiopus couchii,Couch's Spadefoot,Amphibia,2
Heterodon platirhinos,Eastern Hognose Snake,Reptilia,2
Sceloporus undulatus,Eastern Fence Lizard,Reptilia,2
Scutigera coleoptrata,House Centipede,Animalia,2
Centruroides vittatus,Striped Bark Scorpion,Arachnida,2
Lampropeltis getula,Eastern Kingsnake,Reptilia,2
Crotalus horridus,Timber Rattlesnake,Reptilia,2
Thamnophis marcianus,Checkered Garter Snake,Reptilia,1
Thamnophis saurita sackenii,Peninsula Ribbon Snake,Reptilia,1
Tillandsia utriculata,giant airplant,Plantae,1
Trachemys scripta elegans,Red-eared Slider,Reptilia,1
Agama picticauda,Peters's Rock Agama,Reptilia,1
Veronica persica,bird's-eye speedwell,Plantae,1
Alliaria petiolata,garlic mustard,Plantae,1
Anaxyrus speciosus,Texas Toad,Amphibia,1
Anolis sagrei,Brown Anole,Reptilia,1
Aphonopelma hentzi,Texas Brown Tarantula,Arachnida,1
Arenivaga bolliana,Boll’s Sandroach,Insecta,1
Argiope aurantia,Yellow Garden Spider,Arachnida,1
Asclepias syriaca,common milkweed,Plantae,1
Chelydra serpentina,Snapping Turtle,Reptilia,1
Chicobolus spinigerus,Florida Ivory Millipede,Animalia,1
Coccoloba uvifera,sea grape,Plantae,1
Diadophis punctatus edwardsii,Northern Ringneck Snake,Reptilia,1
Dolomedes tenebrosus,Dark Fishing Spider,Arachnida,1
Echium vulgare,viper's-bugloss,Plantae,1
Halyomorpha halys,Brown Marmorated Stink Bug,Insecta,1
Heptapleurum actinophyllum,Octopus Tree,Plantae,1
Hogna carolinensis,Carolina Wolf Spider,Arachnida,1
Junonia coenia,Common Buckeye,Insecta,1
Lithobates sylvaticus,Wood Frog,Amphibia,1
Nerodia sipedon sipedon,Northern Watersnake,Reptilia,1
Odocoileus virginianus,White-tailed Deer,Mammalia,1
Opuntia austrina,Florida Prickly-Pear,Plantae,1
Orthoporus ornatus,Desert Millipede,Animalia,1
Plethodon glutinosus,Northern Slimy Salamander,Amphibia,1
Polygyra cereolus,Southern Flatcoil,Mollusca,1
Pseudacris crucifer,Spring Peeper,Amphibia,1
Pseudemys rubriventris,Northern Red-bellied Cooter,Reptilia,1
Pyrrharctia isabella,Isabella Tiger Moth,Insecta,1
Rabidosa rabida,Rabid Wolf Spider,Arachnida,1
Reynoutria japonica,Japanese knotweed,Plantae,1
Rosa multiflora,multiflora rose,Plantae,1
Sceloporus poinsettii,Crevice Spiny Lizard,Reptilia,1
Sternotherus odoratus,Eastern Musk Turtle,Reptilia,1
Storeria occipitomaculata,Red-bellied Snake,Reptilia,1
Storeria occipitomaculata occipitomaculata,Northern Redbelly Snake,Reptilia,1
Taeniopoda eques,Horse Lubber Grasshopper,Insecta,1
Terrapene carolina carolina,Eastern Box Turtle,Reptilia,1
